location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Incheon,37.47772,126.6249,68.99,1980,1980-04-27,118,-0.89,10.5,90.0,55.4
South Korea/Incheon,37.47772,126.6249,68.99,1981,1981-04-02,92,-2.3,25.0,90.0,71.1
South Korea/Incheon,37.47772,126.6249,68.99,1982,1982-04-21,111,0.21,24.8,,57.9
South Korea/Incheon,37.47772,126.6249,68.99,1983,1983-04-12,102,,,90.0,
South Korea/Incheon,37.47772,126.6249,68.99,1985,1985-04-26,116,-1.88,10.3,,98.5
South Korea/Incheon,37.47772,126.6249,68.99,1986,1986-04-27,117,-2.62,10.9,,64.8
South Korea/Incheon,37.47772,126.6249,68.99,1987,1987-04-22,112,,,,
South Korea/Incheon,37.47772,126.6249,68.99,1988,1988-04-22,113,-0.23,11.6,88.0,39.2
South Korea/Incheon,37.47772,126.6249,68.99,1989,1989-04-13,103,2.08,31.7,88.0,199.2
South Korea/Incheon,37.47772,126.6249,68.99,1990,1990-04-18,108,,,88.0,
South Korea/Incheon,37.47772,126.6249,68.99,1991,1991-04-13,103,-0.51,17.9,84.0,109.1
South Korea/Incheon,37.47772,126.6249,68.99,1992,1992-04-07,98,,,,
South Korea/Incheon,37.47772,126.6249,68.99,1993,1993-04-25,115,0.8,17.1,87.0,77.7
South Korea/Incheon,37.47772,126.6249,68.99,1994,1994-04-16,106,,,90.0,
South Korea/Incheon,37.47772,126.6249,68.99,2015,2015-04-11,101,,,90.0,
South Korea/Incheon,37.47772,126.6249,68.99,2016,2016-04-11,102,0.61,45.0,89.0,71.0
South Korea/Incheon,37.47772,126.6249,68.99,2017,2017-04-14,104,,,89.0,
South Korea/Incheon,37.47772,126.6249,68.99,2018,2018-04-12,102,-0.8,34.3,90.0,82.1
South Korea/Incheon,37.47772,126.6249,68.99,2019,2019-04-15,105,0.76,20.8,89.0,42.3
South Korea/Incheon,37.47772,126.6249,68.99,2020,2020-04-06,97,2.1,45.8,,138.1
