location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Inje,38.05987,128.16713,200.16,1980,1980-05-03,124,-3.55,14.8,90.0,107.8
South Korea/Inje,38.05987,128.16713,200.16,1981,1981-04-26,116,,,90.0,
South Korea/Inje,38.05987,128.16713,200.16,1986,1986-04-23,113,-4.71,12.7,,108.8
South Korea/Inje,38.05987,128.16713,200.16,1987,1987-04-24,114,-2.85,1.1,90.0,203.6
South Korea/Inje,38.05987,128.16713,200.16,1988,1988-04-29,120,-2.34,4.5,89.0,98.9
South Korea/Inje,38.05987,128.16713,200.16,1989,1989-04-19,109,0.21,13.3,,355.8
South Korea/Inje,38.05987,128.16713,200.16,1990,1990-04-16,106,-0.86,25.4,90.0,279.3
South Korea/Inje,38.05987,128.16713,200.16,1991,1991-04-27,117,-3.12,5.8,87.0,130.9
South Korea/Inje,38.05987,128.16713,200.16,1992,1992-04-14,105,-1.05,35.2,,164.9
South Korea/Inje,38.05987,128.16713,200.16,1993,1993-04-26,116,,,89.0,
South Korea/Inje,38.05987,128.16713,200.16,1994,1994-04-17,107,,,90.0,
