location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Jangheung,34.68875,126.91949,45.02,1980,1980-04-01,92,,,77.0,
South Korea/Jangheung,34.68875,126.91949,45.02,1981,1981-04-09,99,,,84.0,
South Korea/Jangheung,34.68875,126.91949,45.02,1982,1982-04-08,98,3.61,114.3,84.0,142.4
South Korea/Jangheung,34.68875,126.91949,45.02,1983,1983-04-13,103,,,77.0,
South Korea/Jangheung,34.68875,126.91949,45.02,1984,1984-04-18,109,,,83.0,
South Korea/Jangheung,34.68875,126.91949,45.02,1985,1985-04-16,106,,,78.0,
South Korea/Jangheung,34.68875,126.91949,45.02,1986,1986-04-01,91,2.7,59.8,86.0,115.7
South Korea/Jangheung,34.68875,126.91949,45.02,1987,1987-04-08,98,4.17,93.7,71.0,181.2
South Korea/Jangheung,34.68875,126.91949,45.02,1988,1988-04-11,102,3.58,70.7,83.0,123.7
South Korea/Jangheung,34.68875,126.91949,45.02,1989,1989-04-06,96,5.37,150.0,72.0,275.9
South Korea/Jangheung,34.68875,126.91949,45.02,1990,1990-04-02,92,5.16,162.3,,218.5
South Korea/Jangheung,34.68875,126.91949,45.02,1991,1991-04-08,98,,,78.0,
South Korea/Jangheung,34.68875,126.91949,45.02,1992,1992-04-05,96,5.24,139.5,76.0,162.3
South Korea/Jangheung,34.68875,126.91949,45.02,1993,1993-04-07,97,,,73.0,
South Korea/Jangheung,34.68875,126.91949,45.02,1994,1994-04-09,99,3.76,61.2,81.0,93.1
