location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Jecheon,37.15927,128.19431,259.8,1980,1980-04-22,113,-2.9,12.0,,81.5
South Korea/Jecheon,37.15927,128.19431,259.8,1981,1981-04-19,109,-3.97,40.3,90.0,111.6
South Korea/Jecheon,37.15927,128.19431,259.8,1982,1982-04-02,92,-0.55,24.0,90.0,96.4
South Korea/Jecheon,37.15927,128.19431,259.8,1984,1984-04-27,118,-4.38,5.9,90.0,58.3
South Korea/Jecheon,37.15927,128.19431,259.8,1985,1985-04-02,92,,,90.0,
South Korea/Jecheon,37.15927,128.19431,259.8,1986,1986-04-02,92,-4.02,15.4,90.0,81.9
South Korea/Jecheon,37.15927,128.19431,259.8,1987,1987-04-23,113,-2.23,9.4,90.0,190.2
South Korea/Jecheon,37.15927,128.19431,259.8,1988,1988-04-23,114,-1.23,6.7,90.0,68.5
South Korea/Jecheon,37.15927,128.19431,259.8,1989,1989-04-12,102,0.78,23.6,90.0,242.5
South Korea/Jecheon,37.15927,128.19431,259.8,1990,1990-04-16,106,-0.02,32.7,90.0,214.4
South Korea/Jecheon,37.15927,128.19431,259.8,1991,1991-04-02,92,-2.68,13.3,,168.2
South Korea/Jecheon,37.15927,128.19431,259.8,1992,1992-04-11,102,-0.28,48.5,88.0,87.6
South Korea/Jecheon,37.15927,128.19431,259.8,1993,1993-04-02,92,-0.63,17.4,,121.5
South Korea/Jecheon,37.15927,128.19431,259.8,1994,1994-04-18,108,,,90.0,
