location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Jeju,33.51411,126.52968,20.45,1980,1980-04-06,97,6.58,216.4,51.0,255.7
South Korea/Jeju,33.51411,126.52968,20.45,1981,1981-04-08,98,,,,
South Korea/Jeju,33.51411,126.52968,20.45,1982,1982-03-31,90,6.76,221.6,58.0,240.6
South Korea/Jeju,33.51411,126.52968,20.45,1983,1983-04-06,96,7.34,249.7,46.0,229.3
South Korea/Jeju,33.51411,126.52968,20.45,1984,1984-04-13,104,4.83,103.6,65.0,134.2
South Korea/Jeju,33.51411,126.52968,20.45,1985,1985-04-14,104,6.33,188.6,56.0,297.0
South Korea/Jeju,33.51411,126.52968,20.45,1986,1986-04-09,99,5.72,149.7,67.0,154.3
South Korea/Jeju,33.51411,126.52968,20.45,1987,1987-04-07,97,7.35,256.2,,270.4
South Korea/Jeju,33.51411,126.52968,20.45,1988,1988-04-15,106,6.8,211.3,52.0,209.3
South Korea/Jeju,33.51411,126.52968,20.45,1989,1989-04-01,91,8.01,298.5,45.0,378.1
South Korea/Jeju,33.51411,126.52968,20.45,1990,1990-03-27,86,8.08,309.3,39.0,323.3
South Korea/Jeju,33.51411,126.52968,20.45,1991,1991-04-01,91,7.39,245.4,,326.1
South Korea/Jeju,33.51411,126.52968,20.45,1992,1992-03-27,87,8.19,300.5,41.0,307.3
South Korea/Jeju,33.51411,126.52968,20.45,1993,1993-04-06,96,7.16,229.7,46.0,232.7
South Korea/Jeju,33.51411,126.52968,20.45,1994,1994-04-06,96,6.77,192.4,44.0,131.1
South Korea/Jeju,33.51411,126.52968,20.45,2016,2016-03-29,89,7.39,276.1,42.0,230.5
South Korea/Jeju,33.51411,126.52968,20.45,2017,2017-04-04,94,6.78,207.9,48.0,278.2
South Korea/Jeju,33.51411,126.52968,20.45,2018,2018-03-27,86,6.61,245.2,65.0,341.7
South Korea/Jeju,33.51411,126.52968,20.45,2019,2019-03-29,88,,,57.0,
South Korea/Jeju,33.51411,126.52968,20.45,2020,2020-03-27,87,8.91,369.5,29.0,291.8
