location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Jeongeup,35.56306,126.83917,69.84,1980,1980-04-16,107,1.19,33.2,85.0,148.8
South Korea/Jeongeup,35.56306,126.83917,69.84,1981,1981-04-14,104,0.87,55.2,89.0,101.1
South Korea/Jeongeup,35.56306,126.83917,69.84,1982,1982-04-11,101,1.91,52.2,,102.5
South Korea/Jeongeup,35.56306,126.83917,69.84,1983,1983-04-07,97,2.32,60.2,89.0,140.5
South Korea/Jeongeup,35.56306,126.83917,69.84,1984,1984-04-19,110,,,,
South Korea/Jeongeup,35.56306,126.83917,69.84,1985,1985-04-16,106,0.78,26.3,87.0,152.6
South Korea/Jeongeup,35.56306,126.83917,69.84,1986,1986-04-15,105,0.75,23.9,89.0,117.7
South Korea/Jeongeup,35.56306,126.83917,69.84,1987,1987-04-12,102,2.23,40.2,85.0,183.0
South Korea/Jeongeup,35.56306,126.83917,69.84,1988,1988-04-17,108,1.77,25.7,87.0,106.3
South Korea/Jeongeup,35.56306,126.83917,69.84,1989,1989-04-09,99,3.59,74.4,,257.5
South Korea/Jeongeup,35.56306,126.83917,69.84,1990,1990-04-09,99,3.26,85.4,83.0,199.3
South Korea/Jeongeup,35.56306,126.83917,69.84,1991,1991-04-16,106,2.14,36.7,85.0,172.3
South Korea/Jeongeup,35.56306,126.83917,69.84,1992,1992-04-03,94,3.51,84.9,82.0,105.2
South Korea/Jeongeup,35.56306,126.83917,69.84,1993,1993-04-15,105,2.4,41.0,84.0,123.5
South Korea/Jeongeup,35.56306,126.83917,69.84,1994,1994-04-14,104,,,,
South Korea/Jeongeup,35.56306,126.83917,69.84,2013,2013-04-12,102,,,88.0,
South Korea/Jeongeup,35.56306,126.83917,69.84,2014,2014-04-04,94,3.47,97.7,,77.3
South Korea/Jeongeup,35.56306,126.83917,69.84,2015,2015-04-05,95,2.71,60.1,88.0,94.8
