location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Jeonju,35.8408,127.119,61.4,1980,1980-04-18,109,0.52,31.6,86.0,125.5
South Korea/Jeonju,35.8408,127.119,61.4,1981,1981-04-16,106,,,90.0,
South Korea/Jeonju,35.8408,127.119,61.4,1982,1982-04-15,105,1.69,58.1,90.0,94.7
South Korea/Jeonju,35.8408,127.119,61.4,1984,1984-04-02,93,-0.87,17.3,,57.5
South Korea/Jeonju,35.8408,127.119,61.4,1985,1985-04-16,106,0.38,31.9,88.0,143.4
South Korea/Jeonju,35.8408,127.119,61.4,1986,1986-04-16,106,0.15,27.2,,120.7
South Korea/Jeonju,35.8408,127.119,61.4,1987,1987-04-13,103,1.86,43.8,86.0,178.2
South Korea/Jeonju,35.8408,127.119,61.4,1988,1988-04-17,108,1.4,25.9,,91.3
South Korea/Jeonju,35.8408,127.119,61.4,1989,1989-04-09,99,,,80.0,
South Korea/Jeonju,35.8408,127.119,61.4,1990,1990-04-06,96,,,,
South Korea/Jeonju,35.8408,127.119,61.4,1991,1991-04-12,102,1.65,42.2,86.0,166.3
South Korea/Jeonju,35.8408,127.119,61.4,1992,1992-04-06,97,3.15,90.8,83.0,100.4
South Korea/Jeonju,35.8408,127.119,61.4,1993,1993-04-16,106,2.01,43.5,85.0,110.3
South Korea/Jeonju,35.8408,127.119,61.4,1994,1994-04-12,102,1.62,21.5,90.0,85.6
South Korea/Jeonju,35.8408,127.119,61.4,2015,2015-04-01,91,2.57,65.2,90.0,98.3
South Korea/Jeonju,35.8408,127.119,61.4,2016,2016-04-05,96,,,81.0,
South Korea/Jeonju,35.8408,127.119,61.4,2017,2017-04-05,95,2.08,37.3,85.0,74.7
South Korea/Jeonju,35.8408,127.119,61.4,2018,2018-04-01,91,,,90.0,
South Korea/Jeonju,35.8408,127.119,61.4,2019,2019-04-05,95,,,86.0,
South Korea/Jeonju,35.8408,127.119,61.4,2020,2020-03-31,91,4.24,117.8,78.0,186.2
