location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Jinju,35.16379,128.04002,30.21,1980,1980-04-16,107,1.39,39.3,,118.1
South Korea/Jinju,35.16379,128.04002,30.21,1981,1981-04-12,102,0.9,69.4,90.0,95.2
South Korea/Jinju,35.16379,128.04002,30.21,1982,1982-04-06,96,2.15,86.3,90.0,162.1
South Korea/Jinju,35.16379,128.04002,30.21,1983,1983-04-14,104,,,90.0,
South Korea/Jinju,35.16379,128.04002,30.21,1984,1984-04-16,107,0.07,22.5,90.0,36.2
South Korea/Jinju,35.16379,128.04002,30.21,1985,1985-04-13,103,,,87.0,
South Korea/Jinju,35.16379,128.04002,30.21,1986,1986-04-11,101,0.47,36.9,89.0,115.7
South Korea/Jinju,35.16379,128.04002,30.21,1987,1987-04-05,95,2.28,51.1,87.0,162.7
South Korea/Jinju,35.16379,128.04002,30.21,1988,1988-04-14,105,2.01,39.4,86.0,138.6
South Korea/Jinju,35.16379,128.04002,30.21,1989,1989-04-06,96,3.83,88.4,85.0,305.2
South Korea/Jinju,35.16379,128.04002,30.21,1990,1990-04-05,95,3.46,88.4,85.0,218.5
South Korea/Jinju,35.16379,128.04002,30.21,1991,1991-04-11,101,2.4,50.5,88.0,220.4
South Korea/Jinju,35.16379,128.04002,30.21,1992,1992-04-03,94,3.35,96.0,86.0,143.5
South Korea/Jinju,35.16379,128.04002,30.21,1993,1993-04-07,97,2.57,61.5,85.0,189.3
South Korea/Jinju,35.16379,128.04002,30.21,1994,1994-04-08,98,1.97,32.0,,108.3
