location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Miryang,35.49148,128.7441,11.21,1980,1980-04-11,102,2.33,66.8,84.0,108.9
South Korea/Miryang,35.49148,128.7441,11.21,1981,1981-04-08,98,,,,
South Korea/Miryang,35.49148,128.7441,11.21,1982,1982-04-03,93,3.19,113.2,86.0,149.3
South Korea/Miryang,35.49148,128.7441,11.21,1983,1983-04-09,99,,,88.0,
South Korea/Miryang,35.49148,128.7441,11.21,1984,1984-04-14,105,,,89.0,
South Korea/Miryang,35.49148,128.7441,11.21,1985,1985-04-01,91,2.22,52.6,84.0,171.6
South Korea/Miryang,35.49148,128.7441,11.21,1986,1986-04-08,98,1.61,51.9,89.0,104.0
South Korea/Miryang,35.49148,128.7441,11.21,1987,1987-04-08,98,3.03,69.2,,172.0
South Korea/Miryang,35.49148,128.7441,11.21,1988,1988-04-12,103,2.56,50.1,,121.9
South Korea/Miryang,35.49148,128.7441,11.21,1989,1989-04-04,94,4.77,121.8,78.0,300.5
South Korea/Miryang,35.49148,128.7441,11.21,1990,1990-04-04,94,,,82.0,
South Korea/Miryang,35.49148,128.7441,11.21,1991,1991-04-11,101,3.15,64.6,85.0,196.1
South Korea/Miryang,35.49148,128.7441,11.21,1992,1992-04-03,94,4.2,120.0,81.0,131.6
South Korea/Miryang,35.49148,128.7441,11.21,1993,1993-04-06,96,3.32,85.9,,174.7
South Korea/Miryang,35.49148,128.7441,11.21,1994,1994-04-04,94,,,,
