location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Mungyeong,36.62727,128.148,170.61,1984,1984-04-02,93,-2.12,10.9,,39.5
South Korea/Mungyeong,36.62727,128.148,170.61,1986,1986-04-22,112,-1.51,23.7,90.0,73.2
South Korea/Mungyeong,36.62727,128.148,170.61,1987,1987-04-13,103,0.11,26.8,88.0,162.9
South Korea/Mungyeong,36.62727,128.148,170.61,1988,1988-04-19,110,0.15,17.1,88.0,71.5
South Korea/Mungyeong,36.62727,128.148,170.61,1989,1989-04-06,96,2.44,50.7,,274.9
South Korea/Mungyeong,36.62727,128.148,170.61,1990,1990-04-09,99,1.62,55.5,88.0,177.1
South Korea/Mungyeong,36.62727,128.148,170.61,1991,1991-04-14,104,-0.23,25.0,,135.8
South Korea/Mungyeong,36.62727,128.148,170.61,1992,1992-04-05,96,1.68,72.0,,86.7
South Korea/Mungyeong,36.62727,128.148,170.61,1993,1993-04-23,113,1.07,32.3,87.0,116.9
South Korea/Mungyeong,36.62727,128.148,170.61,1994,1994-04-14,104,0.74,13.5,,70.1
