location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Namhae,34.81662,127.92641,45.71,1980,1980-04-05,96,3.72,108.8,72.0,118.1
South Korea/Namhae,34.81662,127.92641,45.71,1981,1981-04-07,97,3.4,96.0,85.0,95.2
South Korea/Namhae,34.81662,127.92641,45.71,1982,1982-04-03,93,4.33,140.8,81.0,162.1
South Korea/Namhae,34.81662,127.92641,45.71,1983,1983-04-07,97,,,78.0,
South Korea/Namhae,34.81662,127.92641,45.71,1984,1984-04-14,105,2.1,40.8,84.0,36.2
South Korea/Namhae,34.81662,127.92641,45.71,1985,1985-04-13,103,3.75,85.1,73.0,192.6
South Korea/Namhae,34.81662,127.92641,45.71,1986,1986-04-06,96,2.97,71.8,,115.7
South Korea/Namhae,34.81662,127.92641,45.71,1987,1987-04-03,93,4.68,118.8,71.0,162.7
South Korea/Namhae,34.81662,127.92641,45.71,1988,1988-04-13,104,4.18,96.2,80.0,138.6
South Korea/Namhae,34.81662,127.92641,45.71,1989,1989-04-04,94,6.02,173.8,70.0,305.2
South Korea/Namhae,34.81662,127.92641,45.71,1990,1990-03-03,62,,,64.0,
South Korea/Namhae,34.81662,127.92641,45.71,1991,1991-04-11,101,4.59,108.9,,220.4
South Korea/Namhae,34.81662,127.92641,45.71,1992,1992-04-01,92,5.51,143.8,68.0,143.5
South Korea/Namhae,34.81662,127.92641,45.71,1993,1993-04-06,96,,,69.0,
South Korea/Namhae,34.81662,127.92641,45.71,1994,1994-04-08,98,4.25,72.0,81.0,108.3
