location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Pohang,36.03201,129.38002,3.94,1980,1980-04-12,103,2.32,66.6,79.0,106.3
South Korea/Pohang,36.03201,129.38002,3.94,1981,1981-04-15,105,,,,
South Korea/Pohang,36.03201,129.38002,3.94,1984,1984-04-18,109,1.01,30.0,,46.1
South Korea/Pohang,36.03201,129.38002,3.94,1985,1985-04-14,104,2.48,47.3,81.0,138.9
South Korea/Pohang,36.03201,129.38002,3.94,1986,1986-04-09,99,1.47,44.0,88.0,96.6
South Korea/Pohang,36.03201,129.38002,3.94,1987,1987-04-01,91,3.37,72.2,79.0,173.2
South Korea/Pohang,36.03201,129.38002,3.94,1988,1988-04-13,104,2.81,52.3,,115.7
South Korea/Pohang,36.03201,129.38002,3.94,1989,1989-04-03,93,,,,
South Korea/Pohang,36.03201,129.38002,3.94,1990,1990-04-02,92,4.67,139.3,78.0,188.0
South Korea/Pohang,36.03201,129.38002,3.94,1991,1991-04-15,105,3.23,58.7,84.0,169.7
South Korea/Pohang,36.03201,129.38002,3.94,1992,1992-04-03,94,,,,
South Korea/Pohang,36.03201,129.38002,3.94,1993,1993-04-11,101,3.69,79.9,,167.8
South Korea/Pohang,36.03201,129.38002,3.94,1994,1994-04-01,91,3.21,46.3,88.0,89.6
South Korea/Pohang,36.03201,129.38002,3.94,2015,2015-04-01,91,,,86.0,
South Korea/Pohang,36.03201,129.38002,3.94,2016,2016-03-31,91,3.91,119.9,,101.8
South Korea/Pohang,36.03201,129.38002,3.94,2017,2017-03-31,90,,,78.0,
South Korea/Pohang,36.03201,129.38002,3.94,2018,2018-03-29,88,3.18,129.7,88.0,228.7
South Korea/Pohang,36.03201,129.38002,3.94,2019,2019-03-27,86,4.97,148.7,78.0,82.2
South Korea/Pohang,36.03201,129.38002,3.94,2020,2020-03-26,86,5.7,174.8,68.0,221.2
