location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Sancheong,35.41299,127.8791,138.07,1980,1980-04-01,92,0.63,25.7,89.0,110.7
South Korea/Sancheong,35.41299,127.8791,138.07,1981,1981-04-07,97,,,90.0,
South Korea/Sancheong,35.41299,127.8791,138.07,1982,1982-04-04,94,,,,
South Korea/Sancheong,35.41299,127.8791,138.07,1983,1983-04-01,91,1.21,41.0,,153.3
South Korea/Sancheong,35.41299,127.8791,138.07,1984,1984-04-16,107,,,90.0,
South Korea/Sancheong,35.41299,127.8791,138.07,1985,1985-04-15,105,,,88.0,
South Korea/Sancheong,35.41299,127.8791,138.07,1986,1986-04-12,102,-0.19,26.5,90.0,108.4
South Korea/Sancheong,35.41299,127.8791,138.07,1987,1987-04-07,97,1.64,39.6,88.0,166.9
South Korea/Sancheong,35.41299,127.8791,138.07,1988,1988-04-13,104,1.33,25.1,87.0,128.9
South Korea/Sancheong,35.41299,127.8791,138.07,1989,1989-04-05,95,,,86.0,
South Korea/Sancheong,35.41299,127.8791,138.07,1990,1990-03-27,86,2.76,65.6,88.0,193.0
South Korea/Sancheong,35.41299,127.8791,138.07,1991,1991-04-09,99,1.72,42.3,88.0,197.7
South Korea/Sancheong,35.41299,127.8791,138.07,1992,1992-04-05,96,2.65,80.1,87.0,124.9
South Korea/Sancheong,35.41299,127.8791,138.07,1993,1993-04-01,91,1.82,47.1,87.0,166.7
South Korea/Sancheong,35.41299,127.8791,138.07,1994,1994-04-08,98,1.37,24.2,90.0,94.2
