location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Seogwipo,33.24613,126.56534,49.03,1980,1980-04-01,92,6.75,234.9,,255.7
South Korea/Seogwipo,33.24613,126.56534,49.03,1981,1981-03-29,88,6.57,216.6,,169.2
South Korea/Seogwipo,33.24613,126.56534,49.03,1982,1982-03-31,90,7.22,258.4,55.0,240.6
South Korea/Seogwipo,33.24613,126.56534,49.03,1983,1983-04-05,95,7.56,270.2,45.0,229.3
South Korea/Seogwipo,33.24613,126.56534,49.03,1984,1984-04-07,98,4.87,114.2,64.0,134.2
South Korea/Seogwipo,33.24613,126.56534,49.03,1985,1985-04-08,98,6.75,219.0,54.0,297.0
South Korea/Seogwipo,33.24613,126.56534,49.03,1986,1986-04-11,101,5.98,172.0,,154.3
South Korea/Seogwipo,33.24613,126.56534,49.03,1987,1987-04-13,103,7.76,290.1,37.0,270.4
South Korea/Seogwipo,33.24613,126.56534,49.03,1988,1988-04-09,100,,,,
South Korea/Seogwipo,33.24613,126.56534,49.03,1989,1989-03-27,86,,,,
South Korea/Seogwipo,33.24613,126.56534,49.03,1990,1990-03-19,78,,,35.0,
South Korea/Seogwipo,33.24613,126.56534,49.03,1991,1991-03-26,85,,,46.0,
South Korea/Seogwipo,33.24613,126.56534,49.03,1992,1992-03-13,73,8.47,324.9,37.0,307.3
South Korea/Seogwipo,33.24613,126.56534,49.03,1993,1993-04-12,102,7.44,255.6,40.0,232.7
South Korea/Seogwipo,33.24613,126.56534,49.03,1994,1994-04-08,98,7.08,215.1,40.0,131.1
South Korea/Seogwipo,33.24613,126.56534,49.03,2002,2002-04-01,91,,,,
South Korea/Seogwipo,33.24613,126.56534,49.03,2015,2015-04-01,91,7.57,260.5,55.0,213.5
South Korea/Seogwipo,33.24613,126.56534,49.03,2019,2019-03-03,62,8.83,353.8,33.0,214.8
South Korea/Seogwipo,33.24613,126.56534,49.03,2020,2020-04-01,92,10.03,461.4,16.0,369.0
