location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Seongsan,33.38677,126.8802,20.34,1980,1980-04-08,99,6.84,230.6,49.0,309.4
South Korea/Seongsan,33.38677,126.8802,20.34,1981,1981-04-05,95,6.45,201.8,68.0,163.5
South Korea/Seongsan,33.38677,126.8802,20.34,1982,1982-04-15,105,7.0,238.9,58.0,245.3
South Korea/Seongsan,33.38677,126.8802,20.34,1983,1983-04-09,99,7.58,267.4,,262.9
South Korea/Seongsan,33.38677,126.8802,20.34,1984,1984-04-08,99,,,64.0,
South Korea/Seongsan,33.38677,126.8802,20.34,1985,1985-04-08,98,6.65,208.4,,312.5
South Korea/Seongsan,33.38677,126.8802,20.34,1986,1986-04-06,96,,,,
South Korea/Seongsan,33.38677,126.8802,20.34,1987,1987-04-16,106,,,38.0,
South Korea/Seongsan,33.38677,126.8802,20.34,1988,1988-04-15,106,7.24,241.8,46.0,222.9
South Korea/Seongsan,33.38677,126.8802,20.34,1989,1989-04-02,92,,,36.0,
South Korea/Seongsan,33.38677,126.8802,20.34,1990,1990-03-27,86,8.35,331.4,35.0,347.7
South Korea/Seongsan,33.38677,126.8802,20.34,1991,1991-04-16,106,7.58,259.6,,353.1
South Korea/Seongsan,33.38677,126.8802,20.34,1992,1992-04-06,97,8.43,318.9,38.0,315.8
South Korea/Seongsan,33.38677,126.8802,20.34,1993,1993-04-09,99,7.41,247.0,43.0,248.6
South Korea/Seongsan,33.38677,126.8802,20.34,1994,1994-04-09,99,6.97,207.4,40.0,137.6
South Korea/Seongsan,33.38677,126.8802,20.34,1995,1995-04-01,91,7.5,244.1,45.0,208.7
South Korea/Seongsan,33.38677,126.8802,20.34,1996,1996-04-08,99,6.71,209.3,,213.1
South Korea/Seongsan,33.38677,126.8802,20.34,1997,1997-03-03,62,7.66,261.2,50.0,150.0
South Korea/Seongsan,33.38677,126.8802,20.34,2013,2013-04-01,91,7.29,261.9,56.0,157.3
South Korea/Seongsan,33.38677,126.8802,20.34,2014,2014-03-31,90,8.45,331.4,35.0,249.7
