location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Seosan,36.77661,126.49391,25.86,1980,1980-04-19,110,,,85.0,
South Korea/Seosan,36.77661,126.49391,25.86,1981,1981-04-17,107,0.35,40.4,89.0,87.7
South Korea/Seosan,36.77661,126.49391,25.86,1982,1982-04-16,106,1.6,35.5,90.0,77.8
South Korea/Seosan,36.77661,126.49391,25.86,1983,1983-04-15,105,1.74,40.6,88.0,116.0
South Korea/Seosan,36.77661,126.49391,25.86,1984,1984-04-25,116,-0.75,11.6,85.0,59.3
South Korea/Seosan,36.77661,126.49391,25.86,1985,1985-04-02,92,-0.09,15.1,86.0,113.9
South Korea/Seosan,36.77661,126.49391,25.86,1986,1986-04-21,111,-0.08,15.1,90.0,78.4
South Korea/Seosan,36.77661,126.49391,25.86,1987,1987-04-18,108,,,,
South Korea/Seosan,36.77661,126.49391,25.86,1988,1988-04-22,113,1.39,18.0,,53.1
South Korea/Seosan,36.77661,126.49391,25.86,1989,1989-04-14,104,3.3,56.0,82.0,224.8
South Korea/Seosan,36.77661,126.49391,25.86,1990,1990-04-17,107,,,84.0,
South Korea/Seosan,36.77661,126.49391,25.86,1991,1991-04-18,108,1.41,24.9,83.0,158.5
South Korea/Seosan,36.77661,126.49391,25.86,1992,1992-04-09,100,3.02,61.0,83.0,63.9
South Korea/Seosan,36.77661,126.49391,25.86,1993,1993-04-02,92,2.28,27.9,85.0,86.8
South Korea/Seosan,36.77661,126.49391,25.86,1994,1994-04-15,105,1.77,17.5,90.0,79.3
South Korea/Seosan,36.77661,126.49391,25.86,2015,2015-04-01,91,2.18,37.6,90.0,72.4
South Korea/Seosan,36.77661,126.49391,25.86,2016,2016-04-09,100,2.18,70.6,,67.5
South Korea/Seosan,36.77661,126.49391,25.86,2017,2017-04-12,102,,,84.0,
