location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Seoul,37.57142,126.9658,85.67,1980,1980-04-18,109,,,90.0,
South Korea/Seoul,37.57142,126.9658,85.67,1981,1981-04-15,105,-3.13,34.8,90.0,71.5
South Korea/Seoul,37.57142,126.9658,85.67,1982,1982-04-13,103,0.06,31.0,90.0,68.2
South Korea/Seoul,37.57142,126.9658,85.67,1983,1983-04-01,91,-0.2,37.4,,88.4
South Korea/Seoul,37.57142,126.9658,85.67,1984,1984-04-21,112,-4.55,6.4,,57.0
South Korea/Seoul,37.57142,126.9658,85.67,1985,1985-04-16,106,,,89.0,
South Korea/Seoul,37.57142,126.9658,85.67,1986,1986-04-19,109,,,90.0,
South Korea/Seoul,37.57142,126.9658,85.67,1987,1987-04-18,108,-0.98,10.6,90.0,129.6
South Korea/Seoul,37.57142,126.9658,85.67,1988,1988-04-16,107,,,89.0,
South Korea/Seoul,37.57142,126.9658,85.67,1989,1989-04-01,91,1.84,30.4,90.0,202.7
South Korea/Seoul,37.57142,126.9658,85.67,1990,1990-04-01,91,0.5,38.0,89.0,213.3
South Korea/Seoul,37.57142,126.9658,85.67,1991,1991-04-12,102,-1.03,19.0,,122.4
South Korea/Seoul,37.57142,126.9658,85.67,1992,1992-04-06,97,,,89.0,
South Korea/Seoul,37.57142,126.9658,85.67,1993,1993-04-18,108,0.32,16.3,87.0,85.2
South Korea/Seoul,37.57142,126.9658,85.67,1994,1994-04-13,103,-0.14,8.0,90.0,57.4
South Korea/Seoul,37.57142,126.9658,85.67,1995,1995-04-16,106,0.49,23.8,89.0,75.1
South Korea/Seoul,37.57142,126.9658,85.67,1996,1996-04-24,115,-0.82,12.0,,107.7
South Korea/Seoul,37.57142,126.9658,85.67,2013,2013-04-18,108,,,90.0,
South Korea/Seoul,37.57142,126.9658,85.67,2014,2014-03-31,90,1.63,71.3,,51.6
South Korea/Seoul,37.57142,126.9658,85.67,2015,2015-04-06,96,0.75,37.1,90.0,54.4
South Korea/Seoul,37.57142,126.9658,85.67,2016,2016-04-05,96,,,88.0,
South Korea/Seoul,37.57142,126.9658,85.67,2017,2017-04-01,91,0.3,29.7,90.0,36.6
South Korea/Seoul,37.57142,126.9658,85.67,2018,2018-04-04,94,-0.78,52.9,,86.0
South Korea/Seoul,37.57142,126.9658,85.67,2019,2019-04-08,98,0.5,25.1,89.0,48.6
South Korea/Seoul,37.57142,126.9658,85.67,2020,2020-04-01,92,2.09,54.1,,141.5
