location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Sokcho,38.25085,128.56472,18.06,1980,1980-04-21,112,-1.77,15.6,88.0,118.8
South Korea/Sokcho,38.25085,128.56472,18.06,1981,1981-04-19,109,-2.24,12.0,90.0,120.8
South Korea/Sokcho,38.25085,128.56472,18.06,1982,1982-04-12,102,,,,
South Korea/Sokcho,38.25085,128.56472,18.06,1983,1983-04-18,108,-1.1,9.3,90.0,171.4
South Korea/Sokcho,38.25085,128.56472,18.06,1984,1984-05-07,128,-4.11,2.0,90.0,78.6
South Korea/Sokcho,38.25085,128.56472,18.06,1985,1985-04-22,112,-1.16,13.4,89.0,110.8
South Korea/Sokcho,38.25085,128.56472,18.06,1986,1986-04-23,113,-3.04,7.2,90.0,118.3
South Korea/Sokcho,38.25085,128.56472,18.06,1987,1987-04-17,107,-0.98,6.3,89.0,209.2
South Korea/Sokcho,38.25085,128.56472,18.06,1988,1988-04-18,109,-0.61,6.2,88.0,113.2
South Korea/Sokcho,38.25085,128.56472,18.06,1989,1989-04-03,93,2.02,31.9,,369.8
South Korea/Sokcho,38.25085,128.56472,18.06,1990,1990-04-12,102,,,88.0,
South Korea/Sokcho,38.25085,128.56472,18.06,1991,1991-04-22,112,-1.29,9.3,85.0,144.4
South Korea/Sokcho,38.25085,128.56472,18.06,1992,1992-04-11,102,0.37,34.6,87.0,158.0
South Korea/Sokcho,38.25085,128.56472,18.06,1993,1993-04-12,102,,,86.0,
South Korea/Sokcho,38.25085,128.56472,18.06,1994,1994-04-19,109,,,,
South Korea/Sokcho,38.25085,128.56472,18.06,1995,1995-04-21,111,0.75,12.7,,146.4
South Korea/Sokcho,38.25085,128.56472,18.06,1996,1996-04-23,114,-1.66,10.9,90.0,195.1
South Korea/Sokcho,38.25085,128.56472,18.06,2004,2004-04-08,99,1.92,74.3,87.0,64.4
