location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Tongyeong,34.84546,128.4356,32.3,1980,1980-04-13,104,4.13,126.9,71.0,143.6
South Korea/Tongyeong,34.84546,128.4356,32.3,1981,1981-04-05,95,3.76,110.0,83.0,112.6
South Korea/Tongyeong,34.84546,128.4356,32.3,1982,1982-03-03,62,4.88,163.7,81.0,174.7
South Korea/Tongyeong,34.84546,128.4356,32.3,1983,1983-04-06,96,4.55,108.3,78.0,191.7
South Korea/Tongyeong,34.84546,128.4356,32.3,1984,1984-04-13,104,2.66,55.2,84.0,41.9
South Korea/Tongyeong,34.84546,128.4356,32.3,1985,1985-04-01,91,4.09,99.1,,214.6
South Korea/Tongyeong,34.84546,128.4356,32.3,1986,1986-04-01,91,3.39,85.7,85.0,125.6
South Korea/Tongyeong,34.84546,128.4356,32.3,1987,1987-04-04,94,5.04,135.4,,197.0
South Korea/Tongyeong,34.84546,128.4356,32.3,1988,1988-04-11,102,,,81.0,
South Korea/Tongyeong,34.84546,128.4356,32.3,1989,1989-04-02,92,,,70.0,
South Korea/Tongyeong,34.84546,128.4356,32.3,1990,1990-03-31,90,6.15,210.8,60.0,260.6
South Korea/Tongyeong,34.84546,128.4356,32.3,1991,1991-04-11,101,,,75.0,
South Korea/Tongyeong,34.84546,128.4356,32.3,1992,1992-04-02,93,5.81,159.4,67.0,163.9
South Korea/Tongyeong,34.84546,128.4356,32.3,1993,1993-04-05,95,5.16,134.8,,211.9
South Korea/Tongyeong,34.84546,128.4356,32.3,1994,1994-04-09,99,4.63,83.5,83.0,122.3
