location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Uljin,36.99176,129.41278,50,1980,1980-04-23,114,,,80.0,
South Korea/Uljin,36.99176,129.41278,50,1981,1981-04-17,107,0.37,42.1,,129.0
South Korea/Uljin,36.99176,129.41278,50,1982,1982-04-11,101,2.38,58.7,89.0,188.9
South Korea/Uljin,36.99176,129.41278,50,1983,1983-04-17,107,2.18,38.4,,212.5
South Korea/Uljin,36.99176,129.41278,50,1984,1984-04-26,117,-0.31,11.7,87.0,88.0
South Korea/Uljin,36.99176,129.41278,50,1985,1985-04-02,92,1.79,30.8,81.0,145.4
South Korea/Uljin,36.99176,129.41278,50,1986,1986-04-16,106,0.09,23.7,88.0,132.5
South Korea/Uljin,36.99176,129.41278,50,1987,1987-04-11,101,2.27,40.8,80.0,245.0
South Korea/Uljin,36.99176,129.41278,50,1988,1988-04-02,93,1.99,24.2,,151.1
South Korea/Uljin,36.99176,129.41278,50,1989,1989-04-08,98,4.29,80.2,79.0,441.7
South Korea/Uljin,36.99176,129.41278,50,1990,1990-04-05,95,3.63,90.4,82.0,335.1
South Korea/Uljin,36.99176,129.41278,50,1991,1991-04-19,109,1.78,26.6,,195.8
South Korea/Uljin,36.99176,129.41278,50,1992,1992-04-09,100,3.13,70.3,,204.1
South Korea/Uljin,36.99176,129.41278,50,1993,1993-04-04,94,2.85,52.3,80.0,262.9
South Korea/Uljin,36.99176,129.41278,50,1994,1994-04-01,91,2.2,25.9,89.0,155.5
South Korea/Uljin,36.99176,129.41278,50,2015,2015-04-03,93,,,89.0,
