location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Ulleungdo,37.48129,130.89864,222.4,1980,1980-04-25,116,,,73.0,
South Korea/Ulleungdo,37.48129,130.89864,222.4,1981,1981-04-02,92,1.78,31.5,87.0,248.8
South Korea/Ulleungdo,37.48129,130.89864,222.4,1982,1982-04-18,108,3.03,70.6,81.0,208.2
South Korea/Ulleungdo,37.48129,130.89864,222.4,1983,1983-04-18,108,3.44,65.9,,238.1
South Korea/Ulleungdo,37.48129,130.89864,222.4,1984,1984-04-29,120,0.73,12.6,82.0,216.5
South Korea/Ulleungdo,37.48129,130.89864,222.4,1985,1985-04-24,114,2.46,29.2,78.0,247.0
South Korea/Ulleungdo,37.48129,130.89864,222.4,1986,1986-04-02,92,1.5,19.1,86.0,184.0
South Korea/Ulleungdo,37.48129,130.89864,222.4,1987,1987-04-09,99,,,71.0,
South Korea/Ulleungdo,37.48129,130.89864,222.4,1988,1988-04-23,114,2.9,39.8,75.0,226.6
South Korea/Ulleungdo,37.48129,130.89864,222.4,1989,1989-04-14,104,4.99,93.0,71.0,316.3
South Korea/Ulleungdo,37.48129,130.89864,222.4,1990,1990-04-07,97,4.26,99.1,70.0,279.3
South Korea/Ulleungdo,37.48129,130.89864,222.4,1991,1991-04-18,108,,,80.0,
South Korea/Ulleungdo,37.48129,130.89864,222.4,1992,1992-04-12,103,,,73.0,
South Korea/Ulleungdo,37.48129,130.89864,222.4,1993,1993-04-09,99,4.12,67.1,70.0,295.7
South Korea/Ulleungdo,37.48129,130.89864,222.4,1994,1994-04-08,98,2.89,34.2,,145.4
South Korea/Ulleungdo,37.48129,130.89864,222.4,2005,2005-04-22,112,2.98,48.4,71.0,263.1
South Korea/Ulleungdo,37.48129,130.89864,222.4,2016,2016-04-06,97,3.95,95.9,70.0,224.4
South Korea/Ulleungdo,37.48129,130.89864,222.4,2017,2017-04-07,97,3.87,59.9,69.0,227.8
South Korea/Ulleungdo,37.48129,130.89864,222.4,2018,2018-04-09,99,,,,
South Korea/Ulleungdo,37.48129,130.89864,222.4,2019,2019-03-26,85,,,79.0,
South Korea/Ulleungdo,37.48129,130.89864,222.4,2020,2020-03-31,91,,,,
