location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Ulsan,35.5825,129.3347222,82,1980,1980-04-09,100,2.22,59.7,,123.4
South Korea/Ulsan,35.5825,129.3347222,82,1981,1981-04-01,91,1.2,66.5,88.0,118.1
South Korea/Ulsan,35.5825,129.3347222,82,1982,1982-04-02,92,3.1,95.3,87.0,141.5
South Korea/Ulsan,35.5825,129.3347222,82,1983,1983-04-12,102,,,,
South Korea/Ulsan,35.5825,129.3347222,82,1984,1984-04-16,107,0.95,30.7,88.0,40.2
South Korea/Ulsan,35.5825,129.3347222,82,1985,1985-04-13,103,2.34,46.5,80.0,178.4
South Korea/Ulsan,35.5825,129.3347222,82,1986,1986-04-01,91,,,88.0,
South Korea/Ulsan,35.5825,129.3347222,82,1987,1987-04-04,94,3.17,67.4,81.0,180.7
South Korea/Ulsan,35.5825,129.3347222,82,1988,1988-04-12,103,,,86.0,
South Korea/Ulsan,35.5825,129.3347222,82,1989,1989-04-02,92,,,78.0,
South Korea/Ulsan,35.5825,129.3347222,82,1990,1990-03-28,87,,,80.0,
South Korea/Ulsan,35.5825,129.3347222,82,1991,1991-04-13,103,3.13,57.0,85.0,202.3
South Korea/Ulsan,35.5825,129.3347222,82,1992,1992-04-01,92,,,77.0,
South Korea/Ulsan,35.5825,129.3347222,82,1993,1993-04-03,93,,,76.0,
South Korea/Ulsan,35.5825,129.3347222,82,1994,1994-04-06,96,2.92,40.3,88.0,109.5
South Korea/Ulsan,35.5825,129.3347222,82,2016,2016-03-31,91,3.58,112.3,,150.9
South Korea/Ulsan,35.5825,129.3347222,82,2017,2017-04-02,92,,,82.0,
South Korea/Ulsan,35.5825,129.3347222,82,2018,2018-03-31,90,2.68,100.1,89.0,251.7
South Korea/Ulsan,35.5825,129.3347222,82,2019,2019-03-28,87,,,83.0,
South Korea/Ulsan,35.5825,129.3347222,82,2020,2020-03-27,87,5.13,141.5,72.0,234.0
