location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Wando,34.39587,126.70184,35.24,1980,1980-04-14,105,,,,
South Korea/Wando,34.39587,126.70184,35.24,1981,1981-04-11,101,,,80.0,
South Korea/Wando,34.39587,126.70184,35.24,1982,1982-04-11,101,4.52,133.6,75.0,142.4
South Korea/Wando,34.39587,126.70184,35.24,1983,1983-04-01,91,5.06,130.0,70.0,143.5
South Korea/Wando,34.39587,126.70184,35.24,1984,1984-04-19,110,,,78.0,
South Korea/Wando,34.39587,126.70184,35.24,1985,1985-04-15,105,3.95,83.6,73.0,187.1
South Korea/Wando,34.39587,126.70184,35.24,1986,1986-04-13,103,3.6,74.9,82.0,115.7
South Korea/Wando,34.39587,126.70184,35.24,1987,1987-04-08,98,5.17,136.1,60.0,181.2
South Korea/Wando,34.39587,126.70184,35.24,1988,1988-04-07,98,4.53,101.3,71.0,123.7
South Korea/Wando,34.39587,126.70184,35.24,1989,1989-03-21,80,6.11,182.3,65.0,275.9
South Korea/Wando,34.39587,126.70184,35.24,1990,1990-03-28,87,,,56.0,
South Korea/Wando,34.39587,126.70184,35.24,1991,1991-04-11,101,5.19,124.8,,226.4
South Korea/Wando,34.39587,126.70184,35.24,1992,1992-04-05,96,,,,
South Korea/Wando,34.39587,126.70184,35.24,1993,1993-04-12,102,5.18,131.5,64.0,162.8
South Korea/Wando,34.39587,126.70184,35.24,1994,1994-04-13,103,4.76,92.5,72.0,93.1
South Korea/Wando,34.39587,126.70184,35.24,1995,1995-04-11,101,5.46,132.7,70.0,120.0
South Korea/Wando,34.39587,126.70184,35.24,1996,1996-04-18,109,4.42,108.0,77.0,189.0
South Korea/Wando,34.39587,126.70184,35.24,2015,2015-04-03,93,5.16,122.8,,121.9
