location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Wonju,37.33756,127.9466,148.6,1980,1980-04-21,112,-2.15,16.7,90.0,79.8
South Korea/Wonju,37.33756,127.9466,148.6,1981,1981-04-02,92,-3.33,45.0,,97.1
South Korea/Wonju,37.33756,127.9466,148.6,1982,1982-04-28,118,0.19,33.3,90.0,86.7
South Korea/Wonju,37.33756,127.9466,148.6,1983,1983-04-26,116,-0.5,34.8,,117.8
South Korea/Wonju,37.33756,127.9466,148.6,1984,1984-04-23,114,-4.46,6.6,90.0,50.8
South Korea/Wonju,37.33756,127.9466,148.6,1985,1985-04-19,109,,,90.0,
South Korea/Wonju,37.33756,127.9466,148.6,1986,1986-04-19,109,-3.49,17.6,90.0,77.6
South Korea/Wonju,37.33756,127.9466,148.6,1987,1987-04-22,112,-1.31,14.4,,167.8
South Korea/Wonju,37.33756,127.9466,148.6,1988,1988-04-25,116,,,90.0,
South Korea/Wonju,37.33756,127.9466,148.6,1989,1989-04-14,104,1.52,30.7,90.0,226.9
South Korea/Wonju,37.33756,127.9466,148.6,1990,1990-04-01,91,0.54,38.7,90.0,200.9
South Korea/Wonju,37.33756,127.9466,148.6,1991,1991-04-15,105,-1.53,19.7,87.0,152.9
South Korea/Wonju,37.33756,127.9466,148.6,1992,1992-04-01,92,0.71,53.0,89.0,83.0
South Korea/Wonju,37.33756,127.9466,148.6,1993,1993-04-19,109,,,88.0,
South Korea/Wonju,37.33756,127.9466,148.6,1994,1994-04-12,102,,,90.0,
South Korea/Wonju,37.33756,127.9466,148.6,2005,2005-04-18,108,-1.03,16.1,90.0,82.8
