location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Yangpyeong,37.48863,127.49446,47.26,1980,1980-04-28,119,-1.46,22.2,89.0,76.7
South Korea/Yangpyeong,37.48863,127.49446,47.26,1981,1981-04-19,109,-2.68,53.0,90.0,93.6
South Korea/Yangpyeong,37.48863,127.49446,47.26,1982,1982-04-02,92,,,90.0,
South Korea/Yangpyeong,37.48863,127.49446,47.26,1983,1983-04-02,92,,,,
South Korea/Yangpyeong,37.48863,127.49446,47.26,1984,1984-04-22,113,-3.74,9.4,,56.6
South Korea/Yangpyeong,37.48863,127.49446,47.26,1985,1985-04-23,113,-1.74,25.3,89.0,111.6
South Korea/Yangpyeong,37.48863,127.49446,47.26,1987,1987-04-27,117,-0.48,22.5,88.0,142.6
South Korea/Yangpyeong,37.48863,127.49446,47.26,1988,1988-04-29,120,-0.04,18.0,89.0,54.4
South Korea/Yangpyeong,37.48863,127.49446,47.26,1989,1989-04-08,98,,,,
South Korea/Yangpyeong,37.48863,127.49446,47.26,1990,1990-04-16,106,1.14,50.8,,218.0
South Korea/Yangpyeong,37.48863,127.49446,47.26,1991,1991-04-02,92,,,,
South Korea/Yangpyeong,37.48863,127.49446,47.26,1992,1992-04-07,98,,,89.0,
South Korea/Yangpyeong,37.48863,127.49446,47.26,1993,1993-04-24,114,,,87.0,
South Korea/Yangpyeong,37.48863,127.49446,47.26,1994,1994-04-19,109,0.58,11.1,,71.3
