location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Yeongdeok,36.53331,129.40936,40.61,1980,1980-04-12,103,,,81.0,
South Korea/Yeongdeok,36.53331,129.40936,40.61,1981,1981-04-21,111,,,,
South Korea/Yeongdeok,36.53331,129.40936,40.61,1982,1982-04-08,98,2.9,78.8,88.0,116.1
South Korea/Yeongdeok,36.53331,129.40936,40.61,1983,1983-04-12,102,2.65,52.5,86.0,135.6
South Korea/Yeongdeok,36.53331,129.40936,40.61,1984,1984-04-23,114,,,88.0,
South Korea/Yeongdeok,36.53331,129.40936,40.61,1985,1985-04-18,108,,,82.0,
South Korea/Yeongdeok,36.53331,129.40936,40.61,1986,1986-04-17,107,0.58,31.1,89.0,90.2
South Korea/Yeongdeok,36.53331,129.40936,40.61,1987,1987-04-13,103,2.67,52.0,80.0,176.0
South Korea/Yeongdeok,36.53331,129.40936,40.61,1988,1988-04-19,110,2.11,32.1,86.0,108.2
South Korea/Yeongdeok,36.53331,129.40936,40.61,1989,1989-04-11,101,4.58,96.7,80.0,318.7
South Korea/Yeongdeok,36.53331,129.40936,40.61,1990,1990-04-01,91,4.03,108.1,,197.2
South Korea/Yeongdeok,36.53331,129.40936,40.61,1991,1991-04-18,108,2.38,37.9,84.0,155.0
South Korea/Yeongdeok,36.53331,129.40936,40.61,1992,1992-04-09,100,,,78.0,
South Korea/Yeongdeok,36.53331,129.40936,40.61,1993,1993-04-12,102,3.23,62.9,79.0,165.8
South Korea/Yeongdeok,36.53331,129.40936,40.61,1994,1994-04-11,101,,,88.0,
South Korea/Yeongdeok,36.53331,129.40936,40.61,1995,1995-04-09,99,3.3,64.6,82.0,99.1
