location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
South Korea/Yeongju,36.87188,128.51696,210.79,1980,1980-04-02,93,,,90.0,
South Korea/Yeongju,36.87188,128.51696,210.79,1981,1981-04-16,106,,,90.0,
South Korea/Yeongju,36.87188,128.51696,210.79,1982,1982-04-16,106,0.21,29.3,90.0,89.9
South Korea/Yeongju,36.87188,128.51696,210.79,1983,1983-04-15,105,-0.43,23.1,90.0,105.1
South Korea/Yeongju,36.87188,128.51696,210.79,1984,1984-04-23,114,-2.95,8.2,90.0,40.4
South Korea/Yeongju,36.87188,128.51696,210.79,1985,1985-04-18,108,-1.49,15.5,,101.5
South Korea/Yeongju,36.87188,128.51696,210.79,1986,1986-04-21,111,-2.63,15.5,90.0,69.1
South Korea/Yeongju,36.87188,128.51696,210.79,1987,1987-04-16,106,,,89.0,
South Korea/Yeongju,36.87188,128.51696,210.79,1988,1988-04-17,108,-0.39,6.2,90.0,68.1
South Korea/Yeongju,36.87188,128.51696,210.79,1989,1989-04-12,102,1.87,29.5,89.0,264.1
South Korea/Yeongju,36.87188,128.51696,210.79,1990,1990-04-13,103,0.93,41.8,90.0,192.2
South Korea/Yeongju,36.87188,128.51696,210.79,1991,1991-04-02,92,-1.26,15.0,87.0,135.8
South Korea/Yeongju,36.87188,128.51696,210.79,1992,1992-04-12,103,0.66,53.7,,87.9
South Korea/Yeongju,36.87188,128.51696,210.79,1993,1993-04-13,103,0.13,23.3,,118.6
South Korea/Yeongju,36.87188,128.51696,210.79,1994,1994-04-11,101,,,90.0,
