location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Cheonan,36.7624,127.2927,81.5,1980,1980-04-02,93
South Korea/Cheonan,36.7624,127.2927,81.5,1981,1981-04-17,107
South Korea/Cheonan,36.7624,127.2927,81.5,1982,1982-04-16,106
South Korea/Cheonan,36.7624,127.2927,81.5,1983,1983-04-13,103
South Korea/Cheonan,36.7624,127.2927,81.5,1984,1984-04-18,109
South Korea/Cheonan,36.7624,127.2927,81.5,1985,1985-04-15,105
South Korea/Cheonan,36.7624,127.2927,81.5,1986,1986-04-16,106
South Korea/Cheonan,36.7624,127.2927,81.5,1987,1987-04-18,108
South Korea/Cheonan,36.7624,127.2927,81.5,1988,1988-04-18,109
South Korea/Cheonan,36.7624,127.2927,81.5,1989,1989-04-01,91
South Korea/Cheonan,36.7624,127.2927,81.5,1990,1990-04-09,99
South Korea/Cheonan,36.7624,127.2927,81.5,1991,1991-04-16,106
South Korea/Cheonan,36.7624,127.2927,81.5,1992,1992-04-08,99
South Korea/Cheonan,36.7624,127.2927,81.5,1993,1993-04-13,103
South Korea/Cheonan,36.7624,127.2927,81.5,1994,1994-04-14,104
South Korea/Cheonan,36.7624,127.2927,81.5,2015,2015-04-12,102
