location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Cheongju,36.63924,127.44066,58.7,1980,1980-04-17,108
South Korea/Cheongju,36.63924,127.44066,58.7,1981,1981-04-13,103
South Korea/Cheongju,36.63924,127.44066,58.7,1982,1982-04-09,99
South Korea/Cheongju,36.63924,127.44066,58.7,1983,1983-04-12,102
South Korea/Cheongju,36.63924,127.44066,58.7,1984,1984-04-24,115
South Korea/Cheongju,36.63924,127.44066,58.7,1985,1985-04-16,106
South Korea/Cheongju,36.63924,127.44066,58.7,1986,1986-04-15,105
South Korea/Cheongju,36.63924,127.44066,58.7,1987,1987-04-18,108
South Korea/Cheongju,36.63924,127.44066,58.7,1988,1988-04-17,108
South Korea/Cheongju,36.63924,127.44066,58.7,1989,1989-04-01,91
South Korea/Cheongju,36.63924,127.44066,58.7,1990,1990-04-01,91
South Korea/Cheongju,36.63924,127.44066,58.7,1991,1991-04-14,104
South Korea/Cheongju,36.63924,127.44066,58.7,1992,1992-04-05,96
South Korea/Cheongju,36.63924,127.44066,58.7,1993,1993-04-17,107
South Korea/Cheongju,36.63924,127.44066,58.7,1994,1994-04-09,99
South Korea/Cheongju,36.63924,127.44066,58.7,2015,2015-04-04,94
South Korea/Cheongju,36.63924,127.44066,58.7,2016,2016-04-03,94
South Korea/Cheongju,36.63924,127.44066,58.7,2017,2017-04-07,97
South Korea/Cheongju,36.63924,127.44066,58.7,2018,2018-04-03,93
South Korea/Cheongju,36.63924,127.44066,58.7,2019,2019-04-06,96
South Korea/Cheongju,36.63924,127.44066,58.7,2020,2020-03-29,89
