location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1953,1953-04-05,95
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1954,1954-04-05,95
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1955,1955-04-04,94
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1956,1956-04-11,102
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1957,1957-04-09,99
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1958,1958-04-07,97
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1959,1959-04-02,92
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1960,1960-03-30,90
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1961,1961-04-08,98
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1962,1962-04-08,98
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1963,1963-04-11,101
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1964,1964-04-13,104
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1965,1965-04-17,107
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1966,1966-04-05,95
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1967,1967-04-06,96
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1968,1968-04-04,95
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1969,1969-04-11,101
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1970,1970-04-17,107
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1971,1971-04-08,98
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1972,1972-04-07,98
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1973,1973-04-08,98
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1974,1974-04-07,97
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1975,1975-04-10,100
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1976,1976-04-07,98
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1977,1977-04-02,92
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1978,1978-04-16,106
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1979,1979-04-06,96
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1980,1980-04-14,105
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1981,1981-04-13,103
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1982,1982-04-03,93
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1983,1983-04-13,103
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1984,1984-04-23,114
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1985,1985-04-09,99
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1986,1986-04-16,106
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1987,1987-04-06,96
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1988,1988-04-11,102
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1989,1989-04-02,92
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1990,1990-04-02,92
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1991,1991-04-10,100
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1992,1992-04-03,94
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1993,1993-04-14,104
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1994,1994-04-11,101
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1995,1995-04-09,99
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1996,1996-04-08,99
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1997,1997-04-06,96
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1998,1998-04-09,99
Japan/Choshi,35.7397222222222,140.857222222222,20.1,1999,1999-04-03,93
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2000,2000-04-11,102
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2001,2001-04-02,92
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2002,2002-03-29,88
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2003,2003-04-04,94
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2004,2004-04-06,97
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2005,2005-04-10,100
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2006,2006-04-01,91
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2007,2007-04-05,95
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2008,2008-04-02,93
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2009,2009-04-07,97
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2010,2010-04-08,98
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2011,2011-04-12,102
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2012,2012-04-11,102
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2013,2013-03-28,87
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2014,2014-04-04,94
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2015,2015-04-06,96
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2016,2016-04-06,97
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2017,2017-04-10,100
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2018,2018-03-28,87
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2019,2019-04-05,95
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2020,2020-04-03,94
Japan/Choshi,35.7397222222222,140.857222222222,20.1,2021,2021-03-28,87
