location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Chuncheon,37.90256,127.7357,76.47,1980,1980-04-25,116
South Korea/Chuncheon,37.90256,127.7357,76.47,1981,1981-04-11,101
South Korea/Chuncheon,37.90256,127.7357,76.47,1982,1982-04-24,114
South Korea/Chuncheon,37.90256,127.7357,76.47,1983,1983-04-17,107
South Korea/Chuncheon,37.90256,127.7357,76.47,1984,1984-04-25,116
South Korea/Chuncheon,37.90256,127.7357,76.47,1985,1985-04-21,111
South Korea/Chuncheon,37.90256,127.7357,76.47,1986,1986-04-17,107
South Korea/Chuncheon,37.90256,127.7357,76.47,1987,1987-04-18,108
South Korea/Chuncheon,37.90256,127.7357,76.47,1988,1988-04-21,112
South Korea/Chuncheon,37.90256,127.7357,76.47,1989,1989-04-14,104
South Korea/Chuncheon,37.90256,127.7357,76.47,1990,1990-04-12,102
South Korea/Chuncheon,37.90256,127.7357,76.47,1991,1991-04-18,108
South Korea/Chuncheon,37.90256,127.7357,76.47,1992,1992-04-09,100
South Korea/Chuncheon,37.90256,127.7357,76.47,1993,1993-04-02,92
South Korea/Chuncheon,37.90256,127.7357,76.47,1994,1994-04-11,101
South Korea/Chuncheon,37.90256,127.7357,76.47,2011,2011-04-02,92
South Korea/Chuncheon,37.90256,127.7357,76.47,2012,2012-04-18,109
South Korea/Chuncheon,37.90256,127.7357,76.47,2014,2014-04-04,94
South Korea/Chuncheon,37.90256,127.7357,76.47,2015,2015-04-01,91
South Korea/Chuncheon,37.90256,127.7357,76.47,2016,2016-04-07,98
