location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1980,1980-04-02,93
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1981,1981-04-15,105
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1982,1982-04-14,104
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1983,1983-04-14,104
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1984,1984-04-23,114
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1985,1985-04-02,92
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1986,1986-04-18,108
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1987,1987-04-18,108
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1988,1988-04-19,110
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1989,1989-04-01,91
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1990,1990-04-13,103
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1991,1991-04-19,109
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1992,1992-04-06,97
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1993,1993-04-17,107
South Korea/Chupungnyeong,36.22023,127.99457,243.7,1994,1994-04-12,102
South Korea/Chupungnyeong,36.22023,127.99457,243.7,2015,2015-04-17,107
