location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Daejeon,36.372,127.37212,68.9,1980,1980-04-12,103
South Korea/Daejeon,36.372,127.37212,68.9,1981,1981-04-13,103
South Korea/Daejeon,36.372,127.37212,68.9,1982,1982-04-06,96
South Korea/Daejeon,36.372,127.37212,68.9,1983,1983-04-08,98
South Korea/Daejeon,36.372,127.37212,68.9,1984,1984-04-16,107
South Korea/Daejeon,36.372,127.37212,68.9,1985,1985-04-11,101
South Korea/Daejeon,36.372,127.37212,68.9,1986,1986-04-12,102
South Korea/Daejeon,36.372,127.37212,68.9,1987,1987-04-09,99
South Korea/Daejeon,36.372,127.37212,68.9,1988,1988-04-13,104
South Korea/Daejeon,36.372,127.37212,68.9,1989,1989-04-05,95
South Korea/Daejeon,36.372,127.37212,68.9,1990,1990-04-05,95
South Korea/Daejeon,36.372,127.37212,68.9,1991,1991-04-11,101
South Korea/Daejeon,36.372,127.37212,68.9,1992,1992-04-02,93
South Korea/Daejeon,36.372,127.37212,68.9,1993,1993-04-05,95
South Korea/Daejeon,36.372,127.37212,68.9,1994,1994-04-07,97
South Korea/Daejeon,36.372,127.37212,68.9,1995,1995-04-14,104
South Korea/Daejeon,36.372,127.37212,68.9,2015,2015-04-01,91
South Korea/Daejeon,36.372,127.37212,68.9,2016,2016-04-02,93
South Korea/Daejeon,36.372,127.37212,68.9,2017,2017-04-06,96
South Korea/Daejeon,36.372,127.37212,68.9,2018,2018-04-02,92
South Korea/Daejeon,36.372,127.37212,68.9,2019,2019-04-06,96
South Korea/Daejeon,36.372,127.37212,68.9,2020,2020-03-29,89
