location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Fukui,36.0555555555556,136.2225,8.8,1953,1953-04-12,102
Japan/Fukui,36.0555555555556,136.2225,8.8,1954,1954-04-06,96
Japan/Fukui,36.0555555555556,136.2225,8.8,1955,1955-04-09,99
Japan/Fukui,36.0555555555556,136.2225,8.8,1956,1956-04-14,105
Japan/Fukui,36.0555555555556,136.2225,8.8,1957,1957-04-17,107
Japan/Fukui,36.0555555555556,136.2225,8.8,1958,1958-04-07,97
Japan/Fukui,36.0555555555556,136.2225,8.8,1959,1959-04-04,94
Japan/Fukui,36.0555555555556,136.2225,8.8,1960,1960-04-05,96
Japan/Fukui,36.0555555555556,136.2225,8.8,1961,1961-04-10,100
Japan/Fukui,36.0555555555556,136.2225,8.8,1962,1962-04-12,102
Japan/Fukui,36.0555555555556,136.2225,8.8,1963,1963-04-12,102
Japan/Fukui,36.0555555555556,136.2225,8.8,1964,1964-04-12,103
Japan/Fukui,36.0555555555556,136.2225,8.8,1965,1965-04-19,109
Japan/Fukui,36.0555555555556,136.2225,8.8,1966,1966-04-09,99
Japan/Fukui,36.0555555555556,136.2225,8.8,1967,1967-04-07,97
Japan/Fukui,36.0555555555556,136.2225,8.8,1968,1968-04-11,102
Japan/Fukui,36.0555555555556,136.2225,8.8,1969,1969-04-13,103
Japan/Fukui,36.0555555555556,136.2225,8.8,1970,1970-04-19,109
Japan/Fukui,36.0555555555556,136.2225,8.8,1971,1971-04-13,103
Japan/Fukui,36.0555555555556,136.2225,8.8,1972,1972-04-10,101
Japan/Fukui,36.0555555555556,136.2225,8.8,1973,1973-04-09,99
Japan/Fukui,36.0555555555556,136.2225,8.8,1974,1974-04-12,102
Japan/Fukui,36.0555555555556,136.2225,8.8,1975,1975-04-12,102
Japan/Fukui,36.0555555555556,136.2225,8.8,1976,1976-04-10,101
Japan/Fukui,36.0555555555556,136.2225,8.8,1977,1977-04-13,103
Japan/Fukui,36.0555555555556,136.2225,8.8,1978,1978-04-15,105
Japan/Fukui,36.0555555555556,136.2225,8.8,1979,1979-04-06,96
Japan/Fukui,36.0555555555556,136.2225,8.8,1980,1980-04-11,102
Japan/Fukui,36.0555555555556,136.2225,8.8,1981,1981-04-13,103
Japan/Fukui,36.0555555555556,136.2225,8.8,1982,1982-04-05,95
Japan/Fukui,36.0555555555556,136.2225,8.8,1983,1983-04-10,100
Japan/Fukui,36.0555555555556,136.2225,8.8,1984,1984-04-21,112
Japan/Fukui,36.0555555555556,136.2225,8.8,1985,1985-04-11,101
Japan/Fukui,36.0555555555556,136.2225,8.8,1986,1986-04-14,104
Japan/Fukui,36.0555555555556,136.2225,8.8,1987,1987-04-07,97
Japan/Fukui,36.0555555555556,136.2225,8.8,1988,1988-04-18,109
Japan/Fukui,36.0555555555556,136.2225,8.8,1989,1989-04-01,91
Japan/Fukui,36.0555555555556,136.2225,8.8,1990,1990-04-01,91
Japan/Fukui,36.0555555555556,136.2225,8.8,1991,1991-04-10,100
Japan/Fukui,36.0555555555556,136.2225,8.8,1992,1992-04-05,96
Japan/Fukui,36.0555555555556,136.2225,8.8,1993,1993-04-14,104
Japan/Fukui,36.0555555555556,136.2225,8.8,1994,1994-04-11,101
Japan/Fukui,36.0555555555556,136.2225,8.8,1995,1995-04-09,99
Japan/Fukui,36.0555555555556,136.2225,8.8,1996,1996-04-14,105
Japan/Fukui,36.0555555555556,136.2225,8.8,1997,1997-04-04,94
Japan/Fukui,36.0555555555556,136.2225,8.8,1998,1998-04-04,94
Japan/Fukui,36.0555555555556,136.2225,8.8,1999,1999-04-02,92
Japan/Fukui,36.0555555555556,136.2225,8.8,2000,2000-04-13,104
Japan/Fukui,36.0555555555556,136.2225,8.8,2001,2001-04-08,98
Japan/Fukui,36.0555555555556,136.2225,8.8,2002,2002-03-31,90
Japan/Fukui,36.0555555555556,136.2225,8.8,2003,2003-04-07,97
Japan/Fukui,36.0555555555556,136.2225,8.8,2004,2004-04-01,92
Japan/Fukui,36.0555555555556,136.2225,8.8,2005,2005-04-12,102
Japan/Fukui,36.0555555555556,136.2225,8.8,2006,2006-04-12,102
Japan/Fukui,36.0555555555556,136.2225,8.8,2007,2007-04-09,99
Japan/Fukui,36.0555555555556,136.2225,8.8,2008,2008-04-06,97
Japan/Fukui,36.0555555555556,136.2225,8.8,2009,2009-04-07,97
Japan/Fukui,36.0555555555556,136.2225,8.8,2010,2010-04-06,96
Japan/Fukui,36.0555555555556,136.2225,8.8,2011,2011-04-13,103
Japan/Fukui,36.0555555555556,136.2225,8.8,2012,2012-04-13,104
Japan/Fukui,36.0555555555556,136.2225,8.8,2013,2013-04-02,92
Japan/Fukui,36.0555555555556,136.2225,8.8,2014,2014-04-03,93
Japan/Fukui,36.0555555555556,136.2225,8.8,2015,2015-04-03,93
Japan/Fukui,36.0555555555556,136.2225,8.8,2016,2016-03-31,91
Japan/Fukui,36.0555555555556,136.2225,8.8,2017,2017-04-07,97
Japan/Fukui,36.0555555555556,136.2225,8.8,2018,2018-04-02,92
Japan/Fukui,36.0555555555556,136.2225,8.8,2019,2019-04-05,95
Japan/Fukui,36.0555555555556,136.2225,8.8,2020,2020-03-31,91
Japan/Fukui,36.0555555555556,136.2225,8.8,2021,2021-03-27,86
