location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1953,1953-04-05,95
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1954,1954-04-08,98
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1955,1955-04-05,95
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1956,1956-04-09,100
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1957,1957-04-08,98
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1958,1958-04-05,95
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1959,1959-04-01,91
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1960,1960-03-31,91
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1962,1962-04-08,98
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1963,1963-04-07,97
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1964,1964-04-04,95
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1965,1965-04-08,98
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1966,1966-04-04,94
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1967,1967-04-04,94
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1968,1968-04-03,94
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1969,1969-04-07,97
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1970,1970-04-08,98
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1971,1971-04-04,94
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1972,1972-04-05,96
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1973,1973-04-02,92
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1974,1974-04-04,94
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1975,1975-04-06,96
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1976,1976-04-02,93
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1977,1977-03-29,88
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1978,1978-04-08,98
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1979,1979-04-06,96
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1980,1980-04-05,96
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1981,1981-04-02,92
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1982,1982-03-26,85
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1983,1983-04-04,94
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1984,1984-04-10,101
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1985,1985-04-07,97
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1986,1986-04-03,93
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1987,1987-04-03,93
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1988,1988-04-09,100
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1989,1989-03-28,87
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1990,1990-03-28,87
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1991,1991-04-06,96
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1992,1992-03-31,91
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1993,1993-04-05,95
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1994,1994-04-05,95
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1995,1995-04-08,98
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1996,1996-04-01,92
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1997,1997-03-28,87
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1998,1998-04-03,93
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,1999,1999-04-01,91
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2000,2000-04-02,93
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2001,2001-04-01,91
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2002,2002-03-25,84
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2003,2003-03-28,87
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2004,2004-03-30,90
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2005,2005-04-06,96
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2006,2006-04-03,93
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2007,2007-03-31,90
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2008,2008-04-02,93
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2009,2009-03-23,82
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2010,2010-03-25,84
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2011,2011-04-02,92
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2012,2012-04-01,92
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2013,2013-03-22,81
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2014,2014-03-27,86
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2015,2015-03-29,88
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2016,2016-03-30,90
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2017,2017-04-05,95
Japan/Fukuoka,33.5822222222222,130.376388888889,2.5,2018,2018-03-27,86
