location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Ganghwa,37.70739,126.44634,47.84,1980,1980-04-02,93
South Korea/Ganghwa,37.70739,126.44634,47.84,1981,1981-04-29,119
South Korea/Ganghwa,37.70739,126.44634,47.84,1982,1982-04-26,116
South Korea/Ganghwa,37.70739,126.44634,47.84,1983,1983-04-27,117
South Korea/Ganghwa,37.70739,126.44634,47.84,1984,1984-04-26,117
South Korea/Ganghwa,37.70739,126.44634,47.84,1985,1985-04-24,114
South Korea/Ganghwa,37.70739,126.44634,47.84,1986,1986-04-28,118
South Korea/Ganghwa,37.70739,126.44634,47.84,1987,1987-04-28,118
South Korea/Ganghwa,37.70739,126.44634,47.84,1988,1988-04-26,117
South Korea/Ganghwa,37.70739,126.44634,47.84,1989,1989-04-24,114
South Korea/Ganghwa,37.70739,126.44634,47.84,1990,1990-04-24,114
South Korea/Ganghwa,37.70739,126.44634,47.84,1991,1991-04-22,112
South Korea/Ganghwa,37.70739,126.44634,47.84,1992,1992-04-07,98
South Korea/Ganghwa,37.70739,126.44634,47.84,1993,1993-04-13,103
South Korea/Ganghwa,37.70739,126.44634,47.84,1994,1994-04-18,108
