location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Gangneung,37.75147,128.89098,26.04,1980,1980-04-17,108
South Korea/Gangneung,37.75147,128.89098,26.04,1981,1981-04-14,104
South Korea/Gangneung,37.75147,128.89098,26.04,1982,1982-04-12,102
South Korea/Gangneung,37.75147,128.89098,26.04,1983,1983-04-16,106
South Korea/Gangneung,37.75147,128.89098,26.04,1984,1984-05-01,122
South Korea/Gangneung,37.75147,128.89098,26.04,1985,1985-04-22,112
South Korea/Gangneung,37.75147,128.89098,26.04,1986,1986-04-14,104
South Korea/Gangneung,37.75147,128.89098,26.04,1987,1987-04-15,105
South Korea/Gangneung,37.75147,128.89098,26.04,1988,1988-04-17,108
South Korea/Gangneung,37.75147,128.89098,26.04,1989,1989-04-09,99
South Korea/Gangneung,37.75147,128.89098,26.04,1990,1990-04-07,97
South Korea/Gangneung,37.75147,128.89098,26.04,1991,1991-04-15,105
South Korea/Gangneung,37.75147,128.89098,26.04,1992,1992-04-05,96
South Korea/Gangneung,37.75147,128.89098,26.04,1993,1993-04-08,98
South Korea/Gangneung,37.75147,128.89098,26.04,1994,1994-04-11,101
