location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Geochang,35.6674,127.909,225.95,1980,1980-04-15,106
South Korea/Geochang,35.6674,127.909,225.95,1981,1981-04-14,104
South Korea/Geochang,35.6674,127.909,225.95,1982,1982-04-08,98
South Korea/Geochang,35.6674,127.909,225.95,1983,1983-04-16,106
South Korea/Geochang,35.6674,127.909,225.95,1984,1984-04-02,93
South Korea/Geochang,35.6674,127.909,225.95,1985,1985-04-19,109
South Korea/Geochang,35.6674,127.909,225.95,1986,1986-04-18,108
South Korea/Geochang,35.6674,127.909,225.95,1987,1987-04-14,104
South Korea/Geochang,35.6674,127.909,225.95,1988,1988-04-18,109
South Korea/Geochang,35.6674,127.909,225.95,1989,1989-04-11,101
South Korea/Geochang,35.6674,127.909,225.95,1990,1990-04-11,101
South Korea/Geochang,35.6674,127.909,225.95,1991,1991-04-16,106
South Korea/Geochang,35.6674,127.909,225.95,1992,1992-04-01,92
South Korea/Geochang,35.6674,127.909,225.95,1993,1993-04-14,104
South Korea/Geochang,35.6674,127.909,225.95,1994,1994-04-15,105
