location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Geoje,34.88818,128.60453,45.4,1980,1980-04-01,92
South Korea/Geoje,34.88818,128.60453,45.4,1981,1981-04-11,101
South Korea/Geoje,34.88818,128.60453,45.4,1982,1982-04-05,95
South Korea/Geoje,34.88818,128.60453,45.4,1983,1983-04-08,98
South Korea/Geoje,34.88818,128.60453,45.4,1984,1984-04-15,106
South Korea/Geoje,34.88818,128.60453,45.4,1985,1985-04-09,99
South Korea/Geoje,34.88818,128.60453,45.4,1986,1986-04-01,91
South Korea/Geoje,34.88818,128.60453,45.4,1987,1987-04-05,95
South Korea/Geoje,34.88818,128.60453,45.4,1989,1989-03-27,86
South Korea/Geoje,34.88818,128.60453,45.4,1990,1990-03-28,87
South Korea/Geoje,34.88818,128.60453,45.4,1991,1991-04-14,104
South Korea/Geoje,34.88818,128.60453,45.4,1992,1992-04-06,97
South Korea/Geoje,34.88818,128.60453,45.4,1993,1993-04-05,95
South Korea/Geoje,34.88818,128.60453,45.4,1994,1994-04-17,107
