location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Goheung,34.61826,127.27572,51.91,1980,1980-04-21,112
South Korea/Goheung,34.61826,127.27572,51.91,1981,1981-04-19,109
South Korea/Goheung,34.61826,127.27572,51.91,1982,1982-04-15,105
South Korea/Goheung,34.61826,127.27572,51.91,1983,1983-04-16,106
South Korea/Goheung,34.61826,127.27572,51.91,1984,1984-04-19,110
South Korea/Goheung,34.61826,127.27572,51.91,1985,1985-04-12,102
South Korea/Goheung,34.61826,127.27572,51.91,1986,1986-04-01,91
South Korea/Goheung,34.61826,127.27572,51.91,1987,1987-04-09,99
South Korea/Goheung,34.61826,127.27572,51.91,1988,1988-04-14,105
South Korea/Goheung,34.61826,127.27572,51.91,1989,1989-04-04,94
South Korea/Goheung,34.61826,127.27572,51.91,1990,1990-03-31,90
South Korea/Goheung,34.61826,127.27572,51.91,1991,1991-04-13,103
South Korea/Goheung,34.61826,127.27572,51.91,1992,1992-03-31,91
South Korea/Goheung,34.61826,127.27572,51.91,1993,1993-04-01,91
South Korea/Goheung,34.61826,127.27572,51.91,1994,1994-04-01,91
