location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Gumi,36.13,128.32,48.88,1980,1980-04-14,105
South Korea/Gumi,36.13,128.32,48.88,1981,1981-04-12,102
South Korea/Gumi,36.13,128.32,48.88,1982,1982-04-07,97
South Korea/Gumi,36.13,128.32,48.88,1983,1983-04-07,97
South Korea/Gumi,36.13,128.32,48.88,1984,1984-04-21,112
South Korea/Gumi,36.13,128.32,48.88,1985,1985-04-15,105
South Korea/Gumi,36.13,128.32,48.88,1986,1986-04-17,107
South Korea/Gumi,36.13,128.32,48.88,1987,1987-04-13,103
South Korea/Gumi,36.13,128.32,48.88,1988,1988-04-17,108
South Korea/Gumi,36.13,128.32,48.88,1989,1989-04-09,99
South Korea/Gumi,36.13,128.32,48.88,1990,1990-04-02,92
South Korea/Gumi,36.13,128.32,48.88,1991,1991-04-16,106
South Korea/Gumi,36.13,128.32,48.88,1992,1992-04-05,96
South Korea/Gumi,36.13,128.32,48.88,1993,1993-04-11,101
South Korea/Gumi,36.13,128.32,48.88,1994,1994-04-09,99
