location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Gwangju,35.17294,126.89158,72.38,1980,1980-04-11,102
South Korea/Gwangju,35.17294,126.89158,72.38,1981,1981-04-08,98
South Korea/Gwangju,35.17294,126.89158,72.38,1982,1982-04-04,94
South Korea/Gwangju,35.17294,126.89158,72.38,1983,1983-04-08,98
South Korea/Gwangju,35.17294,126.89158,72.38,1984,1984-04-13,104
South Korea/Gwangju,35.17294,126.89158,72.38,1985,1985-04-11,101
South Korea/Gwangju,35.17294,126.89158,72.38,1986,1986-04-01,91
South Korea/Gwangju,35.17294,126.89158,72.38,1987,1987-04-08,98
South Korea/Gwangju,35.17294,126.89158,72.38,1988,1988-04-13,104
South Korea/Gwangju,35.17294,126.89158,72.38,1989,1989-04-05,95
South Korea/Gwangju,35.17294,126.89158,72.38,1990,1990-04-02,92
South Korea/Gwangju,35.17294,126.89158,72.38,1991,1991-04-01,91
South Korea/Gwangju,35.17294,126.89158,72.38,1992,1992-03-31,91
South Korea/Gwangju,35.17294,126.89158,72.38,1993,1993-04-07,97
South Korea/Gwangju,35.17294,126.89158,72.38,1994,1994-04-08,98
South Korea/Gwangju,35.17294,126.89158,72.38,2015,2015-04-03,93
South Korea/Gwangju,35.17294,126.89158,72.38,2016,2016-03-31,91
South Korea/Gwangju,35.17294,126.89158,72.38,2017,2017-04-09,99
South Korea/Gwangju,35.17294,126.89158,72.38,2018,2018-03-29,88
South Korea/Gwangju,35.17294,126.89158,72.38,2019,2019-03-29,88
South Korea/Gwangju,35.17294,126.89158,72.38,2020,2020-03-29,89
