location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1953,1953-05-02,122
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1954,1954-04-26,116
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1955,1955-04-26,116
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1956,1956-04-27,118
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1957,1957-05-01,121
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1958,1958-04-27,117
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1959,1959-04-23,113
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1960,1960-05-01,122
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1961,1961-04-26,116
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1962,1962-04-26,116
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1963,1963-04-25,115
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1964,1964-05-02,123
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1965,1965-05-09,129
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1966,1966-04-30,120
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1967,1967-04-28,118
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1968,1968-04-29,120
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1969,1969-04-30,120
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1970,1970-05-07,127
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1971,1971-04-26,116
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1972,1972-04-28,119
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1973,1973-04-22,112
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1974,1974-05-01,121
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1975,1975-04-28,118
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1976,1976-04-28,119
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1977,1977-05-02,122
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1978,1978-05-01,121
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1979,1979-05-05,125
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1980,1980-05-05,126
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1981,1981-04-28,118
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1982,1982-05-01,121
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1983,1983-04-23,113
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1984,1984-05-23,144
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1985,1985-05-01,121
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1986,1986-05-02,122
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1987,1987-04-28,118
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1988,1988-04-30,121
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1989,1989-04-19,109
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1990,1990-04-18,108
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1991,1991-04-25,115
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1992,1992-04-24,115
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1993,1993-04-26,116
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1994,1994-04-26,116
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1995,1995-04-25,115
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1996,1996-05-02,123
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1997,1997-04-28,118
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1998,1998-04-19,109
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,1999,1999-04-27,117
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,2000,2000-04-30,121
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,2001,2001-04-24,114
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,2002,2002-04-16,106
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,2003,2003-04-25,115
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,2004,2004-04-19,110
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,2005,2005-04-29,119
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,2006,2006-05-02,122
Japan/Hachinohe,40.5272222222222,141.521666666667,27.1,2007,2007-04-29,119
