location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Haenam,34.55375,126.56907,16.36,1980,1980-04-01,92
South Korea/Haenam,34.55375,126.56907,16.36,1981,1981-04-09,99
South Korea/Haenam,34.55375,126.56907,16.36,1982,1982-04-05,95
South Korea/Haenam,34.55375,126.56907,16.36,1983,1983-04-08,98
South Korea/Haenam,34.55375,126.56907,16.36,1984,1984-04-16,107
South Korea/Haenam,34.55375,126.56907,16.36,1985,1985-04-04,94
South Korea/Haenam,34.55375,126.56907,16.36,1986,1986-04-08,98
South Korea/Haenam,34.55375,126.56907,16.36,1987,1987-04-09,99
South Korea/Haenam,34.55375,126.56907,16.36,1988,1988-04-14,105
South Korea/Haenam,34.55375,126.56907,16.36,1989,1989-03-21,80
South Korea/Haenam,34.55375,126.56907,16.36,1990,1990-04-09,99
South Korea/Haenam,34.55375,126.56907,16.36,1991,1991-04-14,104
South Korea/Haenam,34.55375,126.56907,16.36,1992,1992-04-08,99
South Korea/Haenam,34.55375,126.56907,16.36,1993,1993-04-11,101
South Korea/Haenam,34.55375,126.56907,16.36,1994,1994-04-12,102
