location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Hakodate,41.8166666666667,140.754166666667,35,1953,1953-05-09,129
Japan/Hakodate,41.8166666666667,140.754166666667,35,1954,1954-05-07,127
Japan/Hakodate,41.8166666666667,140.754166666667,35,1955,1955-05-14,134
Japan/Hakodate,41.8166666666667,140.754166666667,35,1956,1956-05-08,129
Japan/Hakodate,41.8166666666667,140.754166666667,35,1957,1957-05-12,132
Japan/Hakodate,41.8166666666667,140.754166666667,35,1958,1958-05-10,130
Japan/Hakodate,41.8166666666667,140.754166666667,35,1959,1959-05-02,122
Japan/Hakodate,41.8166666666667,140.754166666667,35,1960,1960-05-10,131
Japan/Hakodate,41.8166666666667,140.754166666667,35,1961,1961-05-05,125
Japan/Hakodate,41.8166666666667,140.754166666667,35,1962,1962-05-08,128
Japan/Hakodate,41.8166666666667,140.754166666667,35,1963,1963-05-08,128
Japan/Hakodate,41.8166666666667,140.754166666667,35,1964,1964-05-10,131
Japan/Hakodate,41.8166666666667,140.754166666667,35,1965,1965-05-16,136
Japan/Hakodate,41.8166666666667,140.754166666667,35,1966,1966-05-11,131
Japan/Hakodate,41.8166666666667,140.754166666667,35,1967,1967-05-09,129
Japan/Hakodate,41.8166666666667,140.754166666667,35,1968,1968-05-07,128
Japan/Hakodate,41.8166666666667,140.754166666667,35,1969,1969-05-08,128
Japan/Hakodate,41.8166666666667,140.754166666667,35,1970,1970-05-11,131
Japan/Hakodate,41.8166666666667,140.754166666667,35,1971,1971-05-14,134
Japan/Hakodate,41.8166666666667,140.754166666667,35,1972,1972-05-04,125
Japan/Hakodate,41.8166666666667,140.754166666667,35,1973,1973-05-07,127
Japan/Hakodate,41.8166666666667,140.754166666667,35,1974,1974-05-12,132
Japan/Hakodate,41.8166666666667,140.754166666667,35,1975,1975-05-07,127
Japan/Hakodate,41.8166666666667,140.754166666667,35,1976,1976-05-11,132
Japan/Hakodate,41.8166666666667,140.754166666667,35,1977,1977-05-12,132
Japan/Hakodate,41.8166666666667,140.754166666667,35,1978,1978-05-10,130
Japan/Hakodate,41.8166666666667,140.754166666667,35,1979,1979-05-11,131
Japan/Hakodate,41.8166666666667,140.754166666667,35,1980,1980-05-15,136
Japan/Hakodate,41.8166666666667,140.754166666667,35,1981,1981-05-06,126
Japan/Hakodate,41.8166666666667,140.754166666667,35,1982,1982-05-09,129
Japan/Hakodate,41.8166666666667,140.754166666667,35,1983,1983-04-30,120
Japan/Hakodate,41.8166666666667,140.754166666667,35,1984,1984-05-27,148
Japan/Hakodate,41.8166666666667,140.754166666667,35,1985,1985-05-09,129
Japan/Hakodate,41.8166666666667,140.754166666667,35,1986,1986-05-08,128
Japan/Hakodate,41.8166666666667,140.754166666667,35,1987,1987-05-08,128
Japan/Hakodate,41.8166666666667,140.754166666667,35,1988,1988-05-06,127
Japan/Hakodate,41.8166666666667,140.754166666667,35,1989,1989-05-01,121
Japan/Hakodate,41.8166666666667,140.754166666667,35,1990,1990-04-26,116
Japan/Hakodate,41.8166666666667,140.754166666667,35,1991,1991-05-02,122
Japan/Hakodate,41.8166666666667,140.754166666667,35,1992,1992-05-02,123
Japan/Hakodate,41.8166666666667,140.754166666667,35,1993,1993-05-02,122
Japan/Hakodate,41.8166666666667,140.754166666667,35,1994,1994-05-05,125
Japan/Hakodate,41.8166666666667,140.754166666667,35,1995,1995-05-03,123
Japan/Hakodate,41.8166666666667,140.754166666667,35,1996,1996-05-11,132
Japan/Hakodate,41.8166666666667,140.754166666667,35,1997,1997-05-01,121
Japan/Hakodate,41.8166666666667,140.754166666667,35,1998,1998-04-24,114
Japan/Hakodate,41.8166666666667,140.754166666667,35,1999,1999-05-02,122
Japan/Hakodate,41.8166666666667,140.754166666667,35,2000,2000-05-08,129
Japan/Hakodate,41.8166666666667,140.754166666667,35,2001,2001-05-03,123
Japan/Hakodate,41.8166666666667,140.754166666667,35,2002,2002-04-21,111
Japan/Hakodate,41.8166666666667,140.754166666667,35,2003,2003-05-02,122
Japan/Hakodate,41.8166666666667,140.754166666667,35,2004,2004-04-30,121
Japan/Hakodate,41.8166666666667,140.754166666667,35,2005,2005-05-05,125
Japan/Hakodate,41.8166666666667,140.754166666667,35,2006,2006-05-12,132
Japan/Hakodate,41.8166666666667,140.754166666667,35,2007,2007-05-04,124
Japan/Hakodate,41.8166666666667,140.754166666667,35,2008,2008-04-26,117
Japan/Hakodate,41.8166666666667,140.754166666667,35,2009,2009-05-01,121
Japan/Hakodate,41.8166666666667,140.754166666667,35,2010,2010-05-10,130
Japan/Hakodate,41.8166666666667,140.754166666667,35,2011,2011-05-06,126
Japan/Hakodate,41.8166666666667,140.754166666667,35,2012,2012-05-05,126
Japan/Hakodate,41.8166666666667,140.754166666667,35,2013,2013-05-12,132
Japan/Hakodate,41.8166666666667,140.754166666667,35,2014,2014-05-01,121
Japan/Hakodate,41.8166666666667,140.754166666667,35,2015,2015-04-24,114
Japan/Hakodate,41.8166666666667,140.754166666667,35,2016,2016-04-26,117
Japan/Hakodate,41.8166666666667,140.754166666667,35,2017,2017-04-30,120
Japan/Hakodate,41.8166666666667,140.754166666667,35,2018,2018-04-28,118
Japan/Hakodate,41.8166666666667,140.754166666667,35,2019,2019-04-29,119
Japan/Hakodate,41.8166666666667,140.754166666667,35,2020,2020-05-01,122
Japan/Hakodate,41.8166666666667,140.754166666667,35,2021,2021-04-23,113
