location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Hapcheon,35.56503,128.16986,32,1980,1980-04-01,92
South Korea/Hapcheon,35.56503,128.16986,32,1981,1981-04-07,97
South Korea/Hapcheon,35.56503,128.16986,32,1982,1982-04-03,93
South Korea/Hapcheon,35.56503,128.16986,32,1984,1984-04-17,108
South Korea/Hapcheon,35.56503,128.16986,32,1985,1985-04-12,102
South Korea/Hapcheon,35.56503,128.16986,32,1986,1986-04-08,98
South Korea/Hapcheon,35.56503,128.16986,32,1987,1987-04-06,96
South Korea/Hapcheon,35.56503,128.16986,32,1988,1988-04-12,103
South Korea/Hapcheon,35.56503,128.16986,32,1989,1989-04-14,104
South Korea/Hapcheon,35.56503,128.16986,32,1990,1990-04-04,94
South Korea/Hapcheon,35.56503,128.16986,32,1991,1991-04-13,103
South Korea/Hapcheon,35.56503,128.16986,32,1992,1992-04-02,93
South Korea/Hapcheon,35.56503,128.16986,32,1993,1993-04-05,95
South Korea/Hapcheon,35.56503,128.16986,32,1994,1994-04-04,94
