location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1958,1958-05-15,135
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1959,1959-05-03,123
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1960,1960-05-13,134
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1961,1961-05-07,127
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1962,1962-05-08,128
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1963,1963-05-09,129
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1964,1964-05-15,136
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1965,1965-05-20,140
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1966,1966-05-19,139
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1967,1967-05-07,127
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1968,1968-05-10,131
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1969,1969-05-10,130
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1970,1970-05-15,135
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1971,1971-05-16,136
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1972,1972-05-09,130
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1973,1973-05-08,128
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1974,1974-05-15,135
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1975,1975-05-16,136
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1976,1976-05-10,131
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1977,1977-05-13,133
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1978,1978-05-13,133
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1979,1979-05-22,142
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1980,1980-05-20,141
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1981,1981-05-11,131
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1982,1982-05-12,132
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1983,1983-05-03,123
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1984,1984-05-31,152
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1985,1985-05-12,132
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1986,1986-05-11,131
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1987,1987-05-09,129
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1988,1988-05-10,131
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1989,1989-05-11,131
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1990,1990-05-06,126
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1991,1991-05-07,127
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1992,1992-05-15,136
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1993,1993-05-16,136
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1994,1994-05-10,130
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1995,1995-05-08,128
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1996,1996-05-20,141
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1997,1997-05-04,124
Japan/Hiroo,42.2944444444444,143.316666666667,32.4,1998,1998-04-30,120
