location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Hongcheon,37.68358,127.8804,139.95,1980,1980-04-27,118
South Korea/Hongcheon,37.68358,127.8804,139.95,1982,1982-04-23,113
South Korea/Hongcheon,37.68358,127.8804,139.95,1983,1983-04-27,117
South Korea/Hongcheon,37.68358,127.8804,139.95,1984,1984-04-03,94
South Korea/Hongcheon,37.68358,127.8804,139.95,1985,1985-04-25,115
South Korea/Hongcheon,37.68358,127.8804,139.95,1986,1986-04-23,113
South Korea/Hongcheon,37.68358,127.8804,139.95,1987,1987-04-24,114
South Korea/Hongcheon,37.68358,127.8804,139.95,1988,1988-04-21,112
South Korea/Hongcheon,37.68358,127.8804,139.95,1989,1989-04-19,109
South Korea/Hongcheon,37.68358,127.8804,139.95,1990,1990-04-16,106
South Korea/Hongcheon,37.68358,127.8804,139.95,1991,1991-04-23,113
South Korea/Hongcheon,37.68358,127.8804,139.95,1992,1992-04-14,105
South Korea/Hongcheon,37.68358,127.8804,139.95,1993,1993-04-25,115
South Korea/Hongcheon,37.68358,127.8804,139.95,1994,1994-04-15,105
