location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Icheon,37.26399,127.48421,80.09,1980,1980-04-24,115
South Korea/Icheon,37.26399,127.48421,80.09,1981,1981-04-18,108
South Korea/Icheon,37.26399,127.48421,80.09,1982,1982-04-18,108
South Korea/Icheon,37.26399,127.48421,80.09,1983,1983-04-08,98
South Korea/Icheon,37.26399,127.48421,80.09,1984,1984-04-19,110
South Korea/Icheon,37.26399,127.48421,80.09,1985,1985-04-01,91
South Korea/Icheon,37.26399,127.48421,80.09,1986,1986-04-18,108
South Korea/Icheon,37.26399,127.48421,80.09,1987,1987-04-14,104
South Korea/Icheon,37.26399,127.48421,80.09,1988,1988-04-14,105
South Korea/Icheon,37.26399,127.48421,80.09,1989,1989-04-06,96
South Korea/Icheon,37.26399,127.48421,80.09,1990,1990-04-13,103
South Korea/Icheon,37.26399,127.48421,80.09,1991,1991-04-19,109
South Korea/Icheon,37.26399,127.48421,80.09,1992,1992-04-08,99
South Korea/Icheon,37.26399,127.48421,80.09,1993,1993-04-09,99
South Korea/Icheon,37.26399,127.48421,80.09,1994,1994-04-12,102
South Korea/Icheon,37.26399,127.48421,80.09,1995,1995-04-17,107
South Korea/Icheon,37.26399,127.48421,80.09,2006,2006-04-11,101
South Korea/Icheon,37.26399,127.48421,80.09,2015,2015-04-07,97
