location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Imsil,35.61203,127.28556,247.04,1980,1980-04-18,109
South Korea/Imsil,35.61203,127.28556,247.04,1981,1981-04-17,107
South Korea/Imsil,35.61203,127.28556,247.04,1982,1982-04-15,105
South Korea/Imsil,35.61203,127.28556,247.04,1983,1983-04-16,106
South Korea/Imsil,35.61203,127.28556,247.04,1984,1984-04-25,116
South Korea/Imsil,35.61203,127.28556,247.04,1985,1985-04-19,109
South Korea/Imsil,35.61203,127.28556,247.04,1986,1986-04-19,109
South Korea/Imsil,35.61203,127.28556,247.04,1987,1987-04-17,107
South Korea/Imsil,35.61203,127.28556,247.04,1988,1988-04-19,110
South Korea/Imsil,35.61203,127.28556,247.04,1989,1989-04-11,101
South Korea/Imsil,35.61203,127.28556,247.04,1990,1990-04-01,91
South Korea/Imsil,35.61203,127.28556,247.04,1991,1991-04-19,109
South Korea/Imsil,35.61203,127.28556,247.04,1992,1992-04-15,106
South Korea/Imsil,35.61203,127.28556,247.04,1993,1993-04-25,115
South Korea/Imsil,35.61203,127.28556,247.04,1994,1994-04-02,92
