location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Incheon,37.47772,126.6249,68.99,1980,1980-04-27,118
South Korea/Incheon,37.47772,126.6249,68.99,1981,1981-04-02,92
South Korea/Incheon,37.47772,126.6249,68.99,1982,1982-04-21,111
South Korea/Incheon,37.47772,126.6249,68.99,1983,1983-04-12,102
South Korea/Incheon,37.47772,126.6249,68.99,1985,1985-04-26,116
South Korea/Incheon,37.47772,126.6249,68.99,1986,1986-04-27,117
South Korea/Incheon,37.47772,126.6249,68.99,1987,1987-04-22,112
South Korea/Incheon,37.47772,126.6249,68.99,1988,1988-04-22,113
South Korea/Incheon,37.47772,126.6249,68.99,1989,1989-04-13,103
South Korea/Incheon,37.47772,126.6249,68.99,1990,1990-04-18,108
South Korea/Incheon,37.47772,126.6249,68.99,1991,1991-04-13,103
South Korea/Incheon,37.47772,126.6249,68.99,1992,1992-04-07,98
South Korea/Incheon,37.47772,126.6249,68.99,1993,1993-04-25,115
South Korea/Incheon,37.47772,126.6249,68.99,1994,1994-04-16,106
South Korea/Incheon,37.47772,126.6249,68.99,2015,2015-04-11,101
South Korea/Incheon,37.47772,126.6249,68.99,2016,2016-04-11,102
South Korea/Incheon,37.47772,126.6249,68.99,2017,2017-04-14,104
South Korea/Incheon,37.47772,126.6249,68.99,2018,2018-04-12,102
South Korea/Incheon,37.47772,126.6249,68.99,2019,2019-04-15,105
South Korea/Incheon,37.47772,126.6249,68.99,2020,2020-04-06,97
