location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Inje,38.05987,128.16713,200.16,1980,1980-05-03,124
South Korea/Inje,38.05987,128.16713,200.16,1981,1981-04-26,116
South Korea/Inje,38.05987,128.16713,200.16,1986,1986-04-23,113
South Korea/Inje,38.05987,128.16713,200.16,1987,1987-04-24,114
South Korea/Inje,38.05987,128.16713,200.16,1988,1988-04-29,120
South Korea/Inje,38.05987,128.16713,200.16,1989,1989-04-19,109
South Korea/Inje,38.05987,128.16713,200.16,1990,1990-04-16,106
South Korea/Inje,38.05987,128.16713,200.16,1991,1991-04-27,117
South Korea/Inje,38.05987,128.16713,200.16,1992,1992-04-14,105
South Korea/Inje,38.05987,128.16713,200.16,1993,1993-04-26,116
South Korea/Inje,38.05987,128.16713,200.16,1994,1994-04-17,107
