location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Jangheung,34.68875,126.91949,45.02,1980,1980-04-01,92
South Korea/Jangheung,34.68875,126.91949,45.02,1981,1981-04-09,99
South Korea/Jangheung,34.68875,126.91949,45.02,1982,1982-04-08,98
South Korea/Jangheung,34.68875,126.91949,45.02,1983,1983-04-13,103
South Korea/Jangheung,34.68875,126.91949,45.02,1984,1984-04-18,109
South Korea/Jangheung,34.68875,126.91949,45.02,1985,1985-04-16,106
South Korea/Jangheung,34.68875,126.91949,45.02,1986,1986-04-01,91
South Korea/Jangheung,34.68875,126.91949,45.02,1987,1987-04-08,98
South Korea/Jangheung,34.68875,126.91949,45.02,1988,1988-04-11,102
South Korea/Jangheung,34.68875,126.91949,45.02,1989,1989-04-06,96
South Korea/Jangheung,34.68875,126.91949,45.02,1990,1990-04-02,92
South Korea/Jangheung,34.68875,126.91949,45.02,1991,1991-04-08,98
South Korea/Jangheung,34.68875,126.91949,45.02,1992,1992-04-05,96
South Korea/Jangheung,34.68875,126.91949,45.02,1993,1993-04-07,97
South Korea/Jangheung,34.68875,126.91949,45.02,1994,1994-04-09,99
