location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Japan/Wakkanai,45.415,141.678888888889,2.85,1953,1953-05-30,150,-5.29,0.0,90.0,179.9
Japan/Wakkanai,45.415,141.678888888889,2.85,1954,1954-05-27,147,-5.03,0.0,90.0,175.8
Japan/Wakkanai,45.415,141.678888888889,2.85,1955,1955-05-23,143,-5.3,0.0,90.0,219.8
Japan/Wakkanai,45.415,141.678888888889,2.85,1956,1956-05-14,135,-5.07,0.0,90.0,189.8
Japan/Wakkanai,45.415,141.678888888889,2.85,1957,1957-05-22,142,-4.98,0.0,90.0,166.5
Japan/Wakkanai,45.415,141.678888888889,2.85,1958,1958-05-25,145,-4.3,0.0,90.0,222.6
Japan/Wakkanai,45.415,141.678888888889,2.85,1959,1959-05-12,132,-3.8,0.0,90.0,162.9
Japan/Wakkanai,45.415,141.678888888889,2.85,1960,1960-05-24,145,-5.16,0.0,90.0,142.9
Japan/Wakkanai,45.415,141.678888888889,2.85,1961,1961-05-18,138,-5.11,0.0,90.0,158.4
Japan/Wakkanai,45.415,141.678888888889,2.85,1962,1962-05-17,137,-4.78,0.0,90.0,187.5
Japan/Wakkanai,45.415,141.678888888889,2.85,1963,1963-05-15,135,-3.38,0.0,90.0,172.4
Japan/Wakkanai,45.415,141.678888888889,2.85,1965,1965-05-22,142,-4.65,0.0,90.0,232.9
Japan/Wakkanai,45.415,141.678888888889,2.85,1974,1974-05-22,142,-3.93,0.0,90.0,147.7
Japan/Wakkanai,45.415,141.678888888889,2.85,1975,1975-05-22,142,-4.15,0.0,90.0,222.3
Japan/Wakkanai,45.415,141.678888888889,2.85,1976,1976-05-23,144,-3.92,0.0,90.0,150.9
Japan/Wakkanai,45.415,141.678888888889,2.85,1977,1977-05-26,146,-5.92,0.0,90.0,135.6
Japan/Wakkanai,45.415,141.678888888889,2.85,1978,1978-05-19,139,-6.01,0.0,90.0,159.6
Japan/Wakkanai,45.415,141.678888888889,2.85,1979,1979-05-26,146,-5.85,0.0,90.0,207.2
Japan/Wakkanai,45.415,141.678888888889,2.85,1980,1980-05-27,148,-6.1,0.0,90.0,175.7
Japan/Wakkanai,45.415,141.678888888889,2.85,1981,1981-05-15,135,-6.38,0.0,90.0,105.7
Japan/Wakkanai,45.415,141.678888888889,2.85,1982,1982-05-18,138,-5.25,0.0,90.0,119.0
Japan/Wakkanai,45.415,141.678888888889,2.85,1983,1983-05-12,132,-6.09,0.0,90.0,80.1
Japan/Wakkanai,45.415,141.678888888889,2.85,1984,1984-05-26,147,-6.28,0.0,90.0,85.4
Japan/Wakkanai,45.415,141.678888888889,2.85,1985,1985-05-17,137,-5.83,0.0,90.0,194.0
Japan/Wakkanai,45.415,141.678888888889,2.85,1986,1986-05-18,138,-6.8,0.0,90.0,111.7
Japan/Wakkanai,45.415,141.678888888889,2.85,1987,1987-05-19,139,-5.62,0.0,90.0,202.0
Japan/Wakkanai,45.415,141.678888888889,2.85,1988,1988-05-20,141,-5.65,0.0,90.0,99.2
Japan/Wakkanai,45.415,141.678888888889,2.85,1989,1989-05-19,139,-2.71,1.8,90.0,85.5
Japan/Wakkanai,45.415,141.678888888889,2.85,1990,1990-05-09,129,-4.08,0.0,90.0,120.7
Japan/Wakkanai,45.415,141.678888888889,2.85,1991,1991-05-18,138,-3.51,0.0,90.0,157.7
Japan/Wakkanai,45.415,141.678888888889,2.85,1992,1992-05-19,140,-3.9,0.0,90.0,83.1
Japan/Wakkanai,45.415,141.678888888889,2.85,1993,1993-05-18,138,-3.52,0.0,90.0,116.8
Japan/Wakkanai,45.415,141.678888888889,2.85,1994,1994-05-19,139,-4.91,0.0,90.0,190.2
Japan/Wakkanai,45.415,141.678888888889,2.85,1995,1995-05-11,131,-4.38,0.0,90.0,139.2
Japan/Wakkanai,45.415,141.678888888889,2.85,1996,1996-05-25,146,-4.7,0.0,90.0,183.7
Japan/Wakkanai,45.415,141.678888888889,2.85,1997,1997-05-22,142,-3.83,1.0,90.0,150.4
Japan/Wakkanai,45.415,141.678888888889,2.85,1998,1998-05-14,134,-5.31,0.0,90.0,116.0
Japan/Wakkanai,45.415,141.678888888889,2.85,1999,1999-05-18,138,-5.33,0.0,90.0,133.8
Japan/Wakkanai,45.415,141.678888888889,2.85,2000,2000-05-21,142,-5.63,0.0,90.0,118.8
Japan/Wakkanai,45.415,141.678888888889,2.85,2001,2001-05-19,139,-6.58,0.0,90.0,131.4
Japan/Wakkanai,45.415,141.678888888889,2.85,2002,2002-05-02,122,-2.77,0.0,90.0,119.2
Japan/Wakkanai,45.415,141.678888888889,2.85,2003,2003-05-14,134,-5.23,0.0,90.0,117.2
Japan/Wakkanai,45.415,141.678888888889,2.85,2004,2004-05-12,133,-3.78,0.0,90.0,207.8
Japan/Wakkanai,45.415,141.678888888889,2.85,2005,2005-05-28,148,-5.02,0.0,90.0,112.7
Japan/Wakkanai,45.415,141.678888888889,2.85,2006,2006-05-20,140,-4.4,0.0,90.0,161.7
Japan/Wakkanai,45.415,141.678888888889,2.85,2007,2007-05-17,137,-3.67,0.0,90.0,122.2
Japan/Wakkanai,45.415,141.678888888889,2.85,2008,2008-05-05,126,-4.05,0.0,90.0,79.5
Japan/Wakkanai,45.415,141.678888888889,2.85,2009,2009-05-12,132,-2.99,0.0,90.0,218.3
Japan/Wakkanai,45.415,141.678888888889,2.85,2010,2010-05-25,145,-4.02,0.0,90.0,159.2
Japan/Wakkanai,45.415,141.678888888889,2.85,2011,2011-05-25,145,-3.6,0.0,90.0,79.8
Japan/Wakkanai,45.415,141.678888888889,2.85,2012,2012-05-18,139,-5.57,0.0,90.0,102.9
Japan/Wakkanai,45.415,141.678888888889,2.85,2013,2013-05-28,148,-4.94,0.0,90.0,174.3
Japan/Wakkanai,45.415,141.678888888889,2.85,2014,2014-05-13,133,-4.71,0.0,90.0,89.4
Japan/Wakkanai,45.415,141.678888888889,2.85,2015,2015-05-06,126,-1.75,1.2,90.0,177.3
Japan/Wakkanai,45.415,141.678888888889,2.85,2016,2016-05-15,136,-4.28,0.7,90.0,138.9
Japan/Wakkanai,45.415,141.678888888889,2.85,2017,2017-05-11,131,-2.04,0.0,90.0,212.4
Japan/Wakkanai,45.415,141.678888888889,2.85,2018,2018-05-15,135,-2.02,2.1,90.0,358.9
Japan/Wakkanai,45.415,141.678888888889,2.85,2019,2019-05-09,129,-2.21,0.0,88.0,215.0
Japan/Wakkanai,45.415,141.678888888889,2.85,2020,2020-05-12,133,-1.71,0.4,90.0,220.2
Japan/Wakkanai,45.415,141.678888888889,2.85,2021,2021-05-11,131,-2.08,0.5,90.0,382.1
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1953,1953-05-13,133,-5.84,0.0,90.0,209.1
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1954,1954-05-17,137,-4.98,0.0,90.0,240.0
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1955,1955-05-16,136,-5.3,0.0,90.0,284.8
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1956,1956-05-14,135,-5.13,0.0,90.0,254.3
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1957,1957-05-14,134,-5.37,0.0,90.0,226.4
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1958,1958-05-16,136,-4.21,0.0,90.0,285.3
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1961,1961-05-13,133,-5.16,0.0,90.0,228.2
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1962,1962-05-16,136,-5.05,0.0,90.0,231.6
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1963,1963-05-17,137,-4.09,0.0,90.0,133.2
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1964,1964-05-11,132,-5.56,0.0,90.0,117.9
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1965,1965-05-23,143,-4.67,0.0,90.0,249.2
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1966,1966-05-20,140,-4.73,0.0,90.0,310.5
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1967,1967-05-19,139,-5.41,0.0,90.0,213.8
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1968,1968-05-11,132,-4.13,0.0,90.0,198.0
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1969,1969-05-18,138,-6.43,0.0,90.0,243.3
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1970,1970-05-11,131,-5.71,0.0,90.0,287.2
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1971,1971-05-21,141,-4.61,0.0,90.0,198.2
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1973,1973-05-18,138,-4.01,0.0,90.0,231.6
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1974,1974-05-18,138,-3.89,0.0,90.0,191.5
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1975,1975-05-12,132,-4.42,0.0,90.0,274.1
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1976,1976-05-16,137,-3.78,0.0,90.0,224.5
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1977,1977-05-16,136,-5.96,0.0,90.0,196.1
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1978,1978-05-14,134,-6.12,0.0,90.0,208.5
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1979,1979-05-20,140,-5.2,0.0,90.0,248.5
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1980,1980-05-22,143,-5.64,0.0,90.0,180.1
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1981,1981-05-13,133,-5.27,0.0,90.0,132.1
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1982,1982-05-12,132,-5.0,0.0,90.0,170.7
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1983,1983-05-03,123,-5.46,0.0,90.0,104.9
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1984,1984-05-23,144,-6.25,0.0,90.0,86.0
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1985,1985-05-13,133,-5.47,0.0,90.0,173.8
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1986,1986-05-11,131,-5.96,0.0,90.0,129.8
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1987,1987-05-15,135,-5.22,0.0,90.0,244.0
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1988,1988-05-12,133,-5.02,0.0,90.0,173.2
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1989,1989-05-07,127,-2.78,0.4,90.0,145.5
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1990,1990-05-01,121,-3.84,0.0,90.0,134.6
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1991,1991-05-11,131,-3.84,0.0,90.0,182.8
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1992,1992-05-16,137,-4.03,0.0,90.0,111.7
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1993,1993-05-14,134,-3.63,0.0,90.0,145.7
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1994,1994-05-18,138,-4.76,0.0,90.0,211.1
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1995,1995-05-09,129,-4.32,0.0,90.0,137.7
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1996,1996-05-22,143,-4.53,0.0,90.0,206.3
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1997,1997-05-14,134,-3.93,0.4,90.0,163.8
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1998,1998-05-03,123,-5.24,0.0,90.0,130.9
Japan/Rumoi,43.9461111111111,141.631944444444,23.6,1999,1999-05-19,139,-4.87,0.0,90.0,187.1
