location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Jecheon,37.15927,128.19431,259.8,1980,1980-04-22,113
South Korea/Jecheon,37.15927,128.19431,259.8,1981,1981-04-19,109
South Korea/Jecheon,37.15927,128.19431,259.8,1982,1982-04-02,92
South Korea/Jecheon,37.15927,128.19431,259.8,1984,1984-04-27,118
South Korea/Jecheon,37.15927,128.19431,259.8,1985,1985-04-02,92
South Korea/Jecheon,37.15927,128.19431,259.8,1986,1986-04-02,92
South Korea/Jecheon,37.15927,128.19431,259.8,1987,1987-04-23,113
South Korea/Jecheon,37.15927,128.19431,259.8,1988,1988-04-23,114
South Korea/Jecheon,37.15927,128.19431,259.8,1989,1989-04-12,102
South Korea/Jecheon,37.15927,128.19431,259.8,1990,1990-04-16,106
South Korea/Jecheon,37.15927,128.19431,259.8,1991,1991-04-02,92
South Korea/Jecheon,37.15927,128.19431,259.8,1992,1992-04-11,102
South Korea/Jecheon,37.15927,128.19431,259.8,1993,1993-04-02,92
South Korea/Jecheon,37.15927,128.19431,259.8,1994,1994-04-18,108
