location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Jeju,33.51411,126.52968,20.45,1980,1980-04-06,97
South Korea/Jeju,33.51411,126.52968,20.45,1981,1981-04-08,98
South Korea/Jeju,33.51411,126.52968,20.45,1982,1982-03-31,90
South Korea/Jeju,33.51411,126.52968,20.45,1983,1983-04-06,96
South Korea/Jeju,33.51411,126.52968,20.45,1984,1984-04-13,104
South Korea/Jeju,33.51411,126.52968,20.45,1985,1985-04-14,104
South Korea/Jeju,33.51411,126.52968,20.45,1986,1986-04-09,99
South Korea/Jeju,33.51411,126.52968,20.45,1987,1987-04-07,97
South Korea/Jeju,33.51411,126.52968,20.45,1988,1988-04-15,106
South Korea/Jeju,33.51411,126.52968,20.45,1989,1989-04-01,91
South Korea/Jeju,33.51411,126.52968,20.45,1990,1990-03-27,86
South Korea/Jeju,33.51411,126.52968,20.45,1991,1991-04-01,91
South Korea/Jeju,33.51411,126.52968,20.45,1992,1992-03-27,87
South Korea/Jeju,33.51411,126.52968,20.45,1993,1993-04-06,96
South Korea/Jeju,33.51411,126.52968,20.45,1994,1994-04-06,96
South Korea/Jeju,33.51411,126.52968,20.45,2016,2016-03-29,89
South Korea/Jeju,33.51411,126.52968,20.45,2017,2017-04-04,94
South Korea/Jeju,33.51411,126.52968,20.45,2018,2018-03-27,86
South Korea/Jeju,33.51411,126.52968,20.45,2019,2019-03-29,88
South Korea/Jeju,33.51411,126.52968,20.45,2020,2020-03-27,87
