location,lat,long,alt,year,bloom_date,bloom_doy
South Korea/Jeongeup,35.56306,126.83917,69.84,1980,1980-04-16,107
South Korea/Jeongeup,35.56306,126.83917,69.84,1981,1981-04-14,104
South Korea/Jeongeup,35.56306,126.83917,69.84,1982,1982-04-11,101
South Korea/Jeongeup,35.56306,126.83917,69.84,1983,1983-04-07,97
South Korea/Jeongeup,35.56306,126.83917,69.84,1984,1984-04-19,110
South Korea/Jeongeup,35.56306,126.83917,69.84,1985,1985-04-16,106
South Korea/Jeongeup,35.56306,126.83917,69.84,1986,1986-04-15,105
South Korea/Jeongeup,35.56306,126.83917,69.84,1987,1987-04-12,102
South Korea/Jeongeup,35.56306,126.83917,69.84,1988,1988-04-17,108
South Korea/Jeongeup,35.56306,126.83917,69.84,1989,1989-04-09,99
South Korea/Jeongeup,35.56306,126.83917,69.84,1990,1990-04-09,99
South Korea/Jeongeup,35.56306,126.83917,69.84,1991,1991-04-16,106
South Korea/Jeongeup,35.56306,126.83917,69.84,1992,1992-04-03,94
South Korea/Jeongeup,35.56306,126.83917,69.84,1993,1993-04-15,105
South Korea/Jeongeup,35.56306,126.83917,69.84,1994,1994-04-14,104
South Korea/Jeongeup,35.56306,126.83917,69.84,2013,2013-04-12,102
South Korea/Jeongeup,35.56306,126.83917,69.84,2014,2014-04-04,94
South Korea/Jeongeup,35.56306,126.83917,69.84,2015,2015-04-05,95
