location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Kagoshima,31.555,130.548055555556,3.9,1953,1953-04-08,98
Japan/Kagoshima,31.555,130.548055555556,3.9,1954,1954-04-08,98
Japan/Kagoshima,31.555,130.548055555556,3.9,1955,1955-04-03,93
Japan/Kagoshima,31.555,130.548055555556,3.9,1956,1956-04-02,93
Japan/Kagoshima,31.555,130.548055555556,3.9,1957,1957-04-07,97
Japan/Kagoshima,31.555,130.548055555556,3.9,1958,1958-04-03,93
Japan/Kagoshima,31.555,130.548055555556,3.9,1959,1959-03-30,89
Japan/Kagoshima,31.555,130.548055555556,3.9,1960,1960-04-03,94
Japan/Kagoshima,31.555,130.548055555556,3.9,1961,1961-04-03,93
Japan/Kagoshima,31.555,130.548055555556,3.9,1962,1962-04-08,98
Japan/Kagoshima,31.555,130.548055555556,3.9,1963,1963-04-06,96
Japan/Kagoshima,31.555,130.548055555556,3.9,1964,1964-04-03,94
Japan/Kagoshima,31.555,130.548055555556,3.9,1965,1965-04-04,94
Japan/Kagoshima,31.555,130.548055555556,3.9,1966,1966-03-27,86
Japan/Kagoshima,31.555,130.548055555556,3.9,1967,1967-04-02,92
Japan/Kagoshima,31.555,130.548055555556,3.9,1968,1968-04-04,95
Japan/Kagoshima,31.555,130.548055555556,3.9,1969,1969-04-07,97
Japan/Kagoshima,31.555,130.548055555556,3.9,1970,1970-04-07,97
Japan/Kagoshima,31.555,130.548055555556,3.9,1971,1971-04-03,93
Japan/Kagoshima,31.555,130.548055555556,3.9,1972,1972-04-01,92
Japan/Kagoshima,31.555,130.548055555556,3.9,1973,1973-03-31,90
Japan/Kagoshima,31.555,130.548055555556,3.9,1974,1974-04-03,93
Japan/Kagoshima,31.555,130.548055555556,3.9,1975,1975-04-10,100
Japan/Kagoshima,31.555,130.548055555556,3.9,1976,1976-04-01,92
Japan/Kagoshima,31.555,130.548055555556,3.9,1977,1977-03-26,85
Japan/Kagoshima,31.555,130.548055555556,3.9,1978,1978-04-11,101
Japan/Kagoshima,31.555,130.548055555556,3.9,1979,1979-04-05,95
Japan/Kagoshima,31.555,130.548055555556,3.9,1980,1980-03-30,90
Japan/Kagoshima,31.555,130.548055555556,3.9,1981,1981-03-28,87
Japan/Kagoshima,31.555,130.548055555556,3.9,1982,1982-03-28,87
Japan/Kagoshima,31.555,130.548055555556,3.9,1983,1983-04-03,93
Japan/Kagoshima,31.555,130.548055555556,3.9,1984,1984-03-31,91
Japan/Kagoshima,31.555,130.548055555556,3.9,1985,1985-04-02,92
Japan/Kagoshima,31.555,130.548055555556,3.9,1986,1986-03-30,89
Japan/Kagoshima,31.555,130.548055555556,3.9,1987,1987-04-02,92
Japan/Kagoshima,31.555,130.548055555556,3.9,1988,1988-04-08,99
Japan/Kagoshima,31.555,130.548055555556,3.9,1989,1989-04-05,95
Japan/Kagoshima,31.555,130.548055555556,3.9,1990,1990-03-29,88
Japan/Kagoshima,31.555,130.548055555556,3.9,1991,1991-04-05,95
Japan/Kagoshima,31.555,130.548055555556,3.9,1992,1992-04-03,94
Japan/Kagoshima,31.555,130.548055555556,3.9,1993,1993-04-10,100
Japan/Kagoshima,31.555,130.548055555556,3.9,1994,1994-04-04,94
Japan/Kagoshima,31.555,130.548055555556,3.9,1995,1995-04-10,100
Japan/Kagoshima,31.555,130.548055555556,3.9,1996,1996-03-31,91
Japan/Kagoshima,31.555,130.548055555556,3.9,1997,1997-03-30,89
Japan/Kagoshima,31.555,130.548055555556,3.9,1998,1998-04-09,99
Japan/Kagoshima,31.555,130.548055555556,3.9,1999,1999-04-06,96
Japan/Kagoshima,31.555,130.548055555556,3.9,2000,2000-04-06,97
Japan/Kagoshima,31.555,130.548055555556,3.9,2001,2001-04-05,95
Japan/Kagoshima,31.555,130.548055555556,3.9,2002,2002-04-01,91
Japan/Kagoshima,31.555,130.548055555556,3.9,2003,2003-04-02,92
Japan/Kagoshima,31.555,130.548055555556,3.9,2004,2004-04-06,97
Japan/Kagoshima,31.555,130.548055555556,3.9,2005,2005-04-09,99
Japan/Kagoshima,31.555,130.548055555556,3.9,2006,2006-03-29,88
Japan/Kagoshima,31.555,130.548055555556,3.9,2007,2007-04-04,94
Japan/Kagoshima,31.555,130.548055555556,3.9,2008,2008-04-12,103
Japan/Kagoshima,31.555,130.548055555556,3.9,2009,2009-04-01,91
Japan/Kagoshima,31.555,130.548055555556,3.9,2010,2010-04-06,96
Japan/Kagoshima,31.555,130.548055555556,3.9,2011,2011-04-05,95
Japan/Kagoshima,31.555,130.548055555556,3.9,2012,2012-04-05,96
Japan/Kagoshima,31.555,130.548055555556,3.9,2013,2013-03-26,85
Japan/Kagoshima,31.555,130.548055555556,3.9,2014,2014-03-31,90
Japan/Kagoshima,31.555,130.548055555556,3.9,2015,2015-03-31,90
Japan/Kagoshima,31.555,130.548055555556,3.9,2016,2016-04-06,97
Japan/Kagoshima,31.555,130.548055555556,3.9,2017,2017-04-15,105
Japan/Kagoshima,31.555,130.548055555556,3.9,2018,2018-03-29,88
Japan/Kagoshima,31.555,130.548055555556,3.9,2019,2019-04-09,99
Japan/Kagoshima,31.555,130.548055555556,3.9,2020,2020-04-19,110
Japan/Kagoshima,31.555,130.548055555556,3.9,2021,2021-03-30,89
