location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1953,1953-04-08,98
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1954,1954-04-04,94
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1955,1955-04-03,93
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1956,1956-04-07,98
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1957,1957-04-09,99
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1958,1958-04-05,95
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1959,1959-03-30,89
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1960,1960-03-31,91
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1961,1961-04-06,96
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1962,1962-04-08,98
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1963,1963-04-06,96
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1964,1964-04-05,96
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1965,1965-04-12,102
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1966,1966-04-02,92
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1967,1967-04-04,94
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1968,1968-04-06,97
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1969,1969-04-09,99
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1970,1970-04-12,102
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1971,1971-04-02,92
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1972,1972-03-31,91
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1973,1973-04-05,95
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1974,1974-04-06,96
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1975,1975-04-06,96
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1976,1976-03-31,91
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1977,1977-04-01,91
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1978,1978-04-10,100
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1979,1979-04-01,91
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1980,1980-04-05,96
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1981,1981-04-06,96
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1982,1982-04-01,91
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1983,1983-04-08,98
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1984,1984-04-16,107
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1985,1985-04-06,96
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1986,1986-04-12,102
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1987,1987-04-05,95
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1988,1988-04-11,102
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1989,1989-04-01,91
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1990,1990-03-26,85
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1991,1991-04-05,95
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1992,1992-04-01,92
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1993,1993-04-02,92
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1994,1994-04-04,94
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1995,1995-04-07,97
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1996,1996-04-08,99
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1997,1997-03-30,89
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1998,1998-03-30,89
Japan/Kofu,35.6672222222222,138.553888888889,272.8,1999,1999-03-28,87
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2000,2000-04-07,98
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2001,2001-04-02,92
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2002,2002-03-22,81
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2003,2003-04-01,91
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2004,2004-03-31,91
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2005,2005-04-07,97
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2006,2006-03-29,88
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2007,2007-03-30,89
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2008,2008-03-28,88
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2009,2009-03-31,90
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2010,2010-03-28,87
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2011,2011-04-08,98
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2012,2012-04-07,98
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2013,2013-03-26,85
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2014,2014-04-04,94
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2015,2015-03-31,90
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2016,2016-04-03,94
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2017,2017-04-09,99
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2018,2018-03-29,88
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2019,2019-04-07,97
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2020,2020-04-02,93
Japan/Kofu,35.6672222222222,138.553888888889,272.8,2021,2021-03-29,88
