location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Kumagaya,36.15,139.38,30,1953,1953-04-09,99
Japan/Kumagaya,36.15,139.38,30,1954,1954-04-05,95
Japan/Kumagaya,36.15,139.38,30,1955,1955-04-08,98
Japan/Kumagaya,36.15,139.38,30,1956,1956-04-13,104
Japan/Kumagaya,36.15,139.38,30,1957,1957-04-12,102
Japan/Kumagaya,36.15,139.38,30,1958,1958-04-09,99
Japan/Kumagaya,36.15,139.38,30,1959,1959-04-04,94
Japan/Kumagaya,36.15,139.38,30,1960,1960-04-07,98
Japan/Kumagaya,36.15,139.38,30,1961,1961-04-08,98
Japan/Kumagaya,36.15,139.38,30,1962,1962-04-10,100
Japan/Kumagaya,36.15,139.38,30,1963,1963-04-11,101
Japan/Kumagaya,36.15,139.38,30,1964,1964-04-08,99
Japan/Kumagaya,36.15,139.38,30,1965,1965-04-13,103
Japan/Kumagaya,36.15,139.38,30,1966,1966-04-07,97
Japan/Kumagaya,36.15,139.38,30,1967,1967-04-05,95
Japan/Kumagaya,36.15,139.38,30,1968,1968-04-06,97
Japan/Kumagaya,36.15,139.38,30,1969,1969-04-13,103
Japan/Kumagaya,36.15,139.38,30,1970,1970-04-16,106
Japan/Kumagaya,36.15,139.38,30,1971,1971-04-08,98
Japan/Kumagaya,36.15,139.38,30,1972,1972-04-03,94
Japan/Kumagaya,36.15,139.38,30,1973,1973-04-09,99
Japan/Kumagaya,36.15,139.38,30,1974,1974-04-12,102
Japan/Kumagaya,36.15,139.38,30,1975,1975-04-11,101
Japan/Kumagaya,36.15,139.38,30,1976,1976-04-10,101
Japan/Kumagaya,36.15,139.38,30,1977,1977-04-03,93
Japan/Kumagaya,36.15,139.38,30,1978,1978-04-11,101
Japan/Kumagaya,36.15,139.38,30,1979,1979-04-03,93
Japan/Kumagaya,36.15,139.38,30,1980,1980-04-12,103
Japan/Kumagaya,36.15,139.38,30,1981,1981-04-07,97
Japan/Kumagaya,36.15,139.38,30,1982,1982-04-03,93
Japan/Kumagaya,36.15,139.38,30,1983,1983-04-10,100
Japan/Kumagaya,36.15,139.38,30,1984,1984-04-20,111
Japan/Kumagaya,36.15,139.38,30,1985,1985-04-09,99
Japan/Kumagaya,36.15,139.38,30,1986,1986-04-12,102
Japan/Kumagaya,36.15,139.38,30,1987,1987-04-04,94
Japan/Kumagaya,36.15,139.38,30,1988,1988-04-13,104
Japan/Kumagaya,36.15,139.38,30,1989,1989-04-04,94
Japan/Kumagaya,36.15,139.38,30,1990,1990-04-01,91
Japan/Kumagaya,36.15,139.38,30,1991,1991-04-08,98
Japan/Kumagaya,36.15,139.38,30,1992,1992-04-01,92
Japan/Kumagaya,36.15,139.38,30,1993,1993-04-04,94
Japan/Kumagaya,36.15,139.38,30,1994,1994-04-06,96
Japan/Kumagaya,36.15,139.38,30,1995,1995-04-09,99
Japan/Kumagaya,36.15,139.38,30,1996,1996-04-09,100
Japan/Kumagaya,36.15,139.38,30,1997,1997-04-04,94
Japan/Kumagaya,36.15,139.38,30,1998,1998-04-07,97
Japan/Kumagaya,36.15,139.38,30,1999,1999-04-05,95
Japan/Kumagaya,36.15,139.38,30,2000,2000-04-08,99
Japan/Kumagaya,36.15,139.38,30,2001,2001-04-03,93
Japan/Kumagaya,36.15,139.38,30,2002,2002-03-22,81
Japan/Kumagaya,36.15,139.38,30,2003,2003-04-04,94
Japan/Kumagaya,36.15,139.38,30,2004,2004-03-31,91
Japan/Kumagaya,36.15,139.38,30,2005,2005-04-08,98
Japan/Kumagaya,36.15,139.38,30,2006,2006-04-03,93
Japan/Kumagaya,36.15,139.38,30,2007,2007-04-01,91
Japan/Kumagaya,36.15,139.38,30,2008,2008-03-29,89
Japan/Kumagaya,36.15,139.38,30,2009,2009-04-05,95
Japan/Kumagaya,36.15,139.38,30,2010,2010-04-06,96
Japan/Kumagaya,36.15,139.38,30,2011,2011-04-08,98
Japan/Kumagaya,36.15,139.38,30,2012,2012-04-10,101
Japan/Kumagaya,36.15,139.38,30,2013,2013-03-26,85
Japan/Kumagaya,36.15,139.38,30,2014,2014-04-01,91
Japan/Kumagaya,36.15,139.38,30,2015,2015-03-30,89
Japan/Kumagaya,36.15,139.38,30,2016,2016-04-01,92
Japan/Kumagaya,36.15,139.38,30,2017,2017-04-07,97
Japan/Kumagaya,36.15,139.38,30,2018,2018-03-26,85
Japan/Kumagaya,36.15,139.38,30,2019,2019-04-04,94
Japan/Kumagaya,36.15,139.38,30,2020,2020-03-25,85
Japan/Kumagaya,36.15,139.38,30,2021,2021-03-29,88
