location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1953,1953-04-04,94
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1954,1954-04-04,94
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1955,1955-03-30,89
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1956,1956-04-01,92
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1957,1957-04-07,97
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1958,1958-04-04,94
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1959,1959-03-29,88
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1960,1960-03-30,90
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1961,1961-03-30,89
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1962,1962-04-09,99
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1963,1963-04-05,95
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1964,1964-04-02,93
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1965,1965-04-10,100
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1966,1966-03-28,87
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1967,1967-04-03,93
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1968,1968-04-03,94
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1969,1969-04-08,98
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1970,1970-04-09,99
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1971,1971-04-04,94
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1972,1972-04-01,92
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1973,1973-04-01,91
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1974,1974-04-05,95
Japan/Kumamoto,32.8136111111111,130.706944444444,37.72,1975,1975-04-04,94
