location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1954,1954-05-28,148
Japan/Kushiro,42.9530555555556,144.4375,14.05,1954,1954-05-28,148
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1955,1955-05-26,146
Japan/Kushiro,42.9530555555556,144.4375,14.05,1955,1955-05-26,146
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1957,1957-05-19,139
Japan/Kushiro,42.9530555555556,144.4375,14.05,1957,1957-05-19,139
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1958,1958-05-29,149
Japan/Kushiro,42.9530555555556,144.4375,14.05,1958,1958-05-29,149
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1959,1959-05-20,140
Japan/Kushiro,42.9530555555556,144.4375,14.05,1959,1959-05-20,140
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1960,1960-05-28,149
Japan/Kushiro,42.9530555555556,144.4375,14.05,1960,1960-05-28,149
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1961,1961-05-27,147
Japan/Kushiro,42.9530555555556,144.4375,14.05,1961,1961-05-27,147
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1962,1962-05-10,130
Japan/Kushiro,42.9530555555556,144.4375,14.05,1962,1962-05-10,130
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1963,1963-05-20,140
Japan/Kushiro,42.9530555555556,144.4375,14.05,1963,1963-05-20,140
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1964,1964-05-24,145
Japan/Kushiro,42.9530555555556,144.4375,14.05,1964,1964-05-24,145
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1965,1965-05-25,145
Japan/Kushiro,42.9530555555556,144.4375,14.05,1965,1965-05-25,145
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1966,1966-05-20,140
Japan/Kushiro,42.9530555555556,144.4375,14.05,1966,1966-05-20,140
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1967,1967-05-14,134
Japan/Kushiro,42.9530555555556,144.4375,14.05,1967,1967-05-14,134
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1968,1968-05-23,144
Japan/Kushiro,42.9530555555556,144.4375,14.05,1968,1968-05-23,144
Japan/Kushiro,42.9858333333333,144.377777777778,4.5,1969,1969-05-20,140
