location,lat,long,alt,year,bloom_date,bloom_doy
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1954,1954-05-19,139
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1955,1955-05-23,143
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1957,1957-05-19,139
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1958,1958-05-20,140
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1959,1959-05-06,126
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1960,1960-05-20,141
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1961,1961-05-12,132
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1962,1962-05-12,132
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1963,1963-05-12,132
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1964,1964-05-13,134
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1965,1965-05-23,143
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1966,1966-05-19,139
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1967,1967-05-11,131
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1968,1968-05-13,134
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1969,1969-05-13,133
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1970,1970-05-19,139
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1972,1972-05-10,131
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1973,1973-05-15,135
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1974,1974-05-18,138
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1975,1975-05-13,133
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1976,1976-05-19,140
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1977,1977-05-22,142
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1978,1978-05-17,137
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1979,1979-05-21,141
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1980,1980-05-23,144
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1981,1981-05-13,133
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1982,1982-05-15,135
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1983,1983-05-04,124
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1984,1984-05-24,145
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1985,1985-05-14,134
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1986,1986-05-16,136
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1987,1987-05-17,137
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1988,1988-05-18,139
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1989,1989-05-09,129
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1990,1990-05-08,128
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1991,1991-05-11,131
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1992,1992-05-15,136
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1993,1993-05-15,135
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1994,1994-05-18,138
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1995,1995-05-10,130
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1996,1996-05-23,144
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1997,1997-05-13,133
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1998,1998-05-04,124
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,1999,1999-05-14,134
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,2000,2000-05-15,136
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,2001,2001-05-12,132
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,2002,2002-04-28,118
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,2003,2003-05-08,128
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,2004,2004-05-09,130
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,2005,2005-05-20,140
Japan/Kutchan,42.9011111111111,140.758055555556,176.1,2006,2006-05-17,137
