location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
liestal,47.4814,7.730519,350,1894,1894-04-16,106,,,,
liestal,47.4814,7.730519,350,1895,1895-04-17,107,,,,
liestal,47.4814,7.730519,350,1896,1896-04-16,107,,,,
liestal,47.4814,7.730519,350,1897,1897-03-27,86,,,,
liestal,47.4814,7.730519,350,1898,1898-04-16,106,,,,
liestal,47.4814,7.730519,350,1899,1899-04-03,93,,,,
liestal,47.4814,7.730519,350,1900,1900-04-23,114,,,,
liestal,47.4814,7.730519,350,1901,1901-04-23,113,,,,
liestal,47.4814,7.730519,350,1902,1902-04-12,102,,,,
liestal,47.4814,7.730519,350,1903,1903-03-27,86,,,,
liestal,47.4814,7.730519,350,1904,1904-04-13,104,,,,
liestal,47.4814,7.730519,350,1905,1905-04-12,102,,,,
liestal,47.4814,7.730519,350,1906,1906-04-13,103,,,,
liestal,47.4814,7.730519,350,1907,1907-04-15,105,,,,
liestal,47.4814,7.730519,350,1908,1908-04-28,119,,,,
liestal,47.4814,7.730519,350,1909,1909-04-19,109,,,,
liestal,47.4814,7.730519,350,1910,1910-04-15,105,,,,
liestal,47.4814,7.730519,350,1911,1911-04-17,107,,,,
liestal,47.4814,7.730519,350,1912,1912-03-26,86,,,,
liestal,47.4814,7.730519,350,1913,1913-03-31,90,,,,
liestal,47.4814,7.730519,350,1914,1914-04-09,99,,,,
liestal,47.4814,7.730519,350,1915,1915-04-27,117,,,,
liestal,47.4814,7.730519,350,1916,1916-04-06,97,,,,
liestal,47.4814,7.730519,350,1917,1917-05-04,124,,,,
liestal,47.4814,7.730519,350,1918,1918-04-13,103,,,,
liestal,47.4814,7.730519,350,1919,1919-04-22,112,,,,
liestal,47.4814,7.730519,350,1920,1920-03-30,90,,,,
liestal,47.4814,7.730519,350,1921,1921-04-02,92,,,,
liestal,47.4814,7.730519,350,1922,1922-04-21,111,,,,
liestal,47.4814,7.730519,350,1923,1923-04-08,98,,,,
liestal,47.4814,7.730519,350,1924,1924-04-24,115,,,,
liestal,47.4814,7.730519,350,1925,1925-04-14,104,,,,
liestal,47.4814,7.730519,350,1926,1926-04-09,99,,,,
liestal,47.4814,7.730519,350,1927,1927-04-18,108,,,,
liestal,47.4814,7.730519,350,1928,1928-04-14,105,,,,
liestal,47.4814,7.730519,350,1929,1929-05-02,122,,,,
liestal,47.4814,7.730519,350,1930,1930-04-19,109,,,,
liestal,47.4814,7.730519,350,1931,1931-04-26,116,,,,
liestal,47.4814,7.730519,350,1932,1932-04-29,120,,,,
liestal,47.4814,7.730519,350,1933,1933-04-22,112,,,,
liestal,47.4814,7.730519,350,1934,1934-04-16,106,,,,
liestal,47.4814,7.730519,350,1935,1935-04-16,106,,,,
liestal,47.4814,7.730519,350,1936,1936-04-09,100,,,,
liestal,47.4814,7.730519,350,1937,1937-04-11,101,,,,
liestal,47.4814,7.730519,350,1938,1938-04-01,91,,,,
liestal,47.4814,7.730519,350,1939,1939-04-15,105,,,,
liestal,47.4814,7.730519,350,1940,1940-04-21,112,0.04,68.5,,131.3
liestal,47.4814,7.730519,350,1941,1941-04-26,116,1.06,43.5,89.0,222.4
liestal,47.4814,7.730519,350,1942,1942-04-24,114,-1.67,62.2,87.0,169.4
liestal,47.4814,7.730519,350,1943,1943-04-12,102,3.66,69.9,89.0,140.7
liestal,47.4814,7.730519,350,1944,1944-04-18,109,0.6,8.7,89.0,169.9
liestal,47.4814,7.730519,350,1945,1945-04-02,92,0.64,57.7,89.0,205.4
liestal,47.4814,7.730519,350,1946,1946-04-06,96,2.77,85.8,83.0,182.1
liestal,47.4814,7.730519,350,1947,1947-04-17,107,0.06,64.5,89.0,256.9
liestal,47.4814,7.730519,350,1948,1948-03-28,88,4.12,114.2,80.0,234.7
liestal,47.4814,7.730519,350,1949,1949-04-17,107,1.99,53.6,89.0,164.4
liestal,47.4814,7.730519,350,1950,1950-04-10,100,2.72,69.9,81.0,152.1
liestal,47.4814,7.730519,350,1951,1951-04-18,108,2.14,33.3,89.0,238.5
liestal,47.4814,7.730519,350,1952,1952-04-11,102,0.91,39.7,90.0,265.2
liestal,47.4814,7.730519,350,1953,1953-04-06,96,-0.48,47.9,89.0,118.4
liestal,47.4814,7.730519,350,1954,1954-04-26,116,0.66,51.5,90.0,156.3
liestal,47.4814,7.730519,350,1955,1955-04-26,116,1.06,56.6,86.0,292.6
liestal,47.4814,7.730519,350,1956,1956-04-27,118,-0.95,44.0,87.0,157.2
liestal,47.4814,7.730519,350,1957,1957-03-25,84,3.2,127.0,87.0,217.2
liestal,47.4814,7.730519,350,1958,1958-04-25,115,1.16,48.5,82.0,343.8
liestal,47.4814,7.730519,350,1959,1959-04-02,92,2.32,81.5,87.0,220.0
liestal,47.4814,7.730519,350,1960,1960-04-03,94,2.58,76.9,83.0,224.4
liestal,47.4814,7.730519,350,1961,1961-03-20,79,3.57,83.9,83.0,203.2
liestal,47.4814,7.730519,350,1962,1962-04-25,115,1.41,25.3,81.0,285.0
liestal,47.4814,7.730519,350,1963,1963-04-24,114,-3.26,7.4,90.0,145.3
liestal,47.4814,7.730519,350,1964,1964-04-16,107,1.11,24.9,88.0,197.7
liestal,47.4814,7.730519,350,1965,1965-04-12,102,0.22,44.8,90.0,239.2
liestal,47.4814,7.730519,350,1966,1966-04-08,98,1.98,46.5,76.0,232.0
liestal,47.4814,7.730519,350,1967,1967-04-04,94,2.67,72.6,84.0,227.4
liestal,47.4814,7.730519,350,1968,1968-04-12,103,1.72,55.5,88.0,276.0
liestal,47.4814,7.730519,350,1969,1969-04-23,113,1.08,29.0,90.0,208.8
liestal,47.4814,7.730519,350,1970,1970-04-24,114,0.36,15.8,89.0,384.7
liestal,47.4814,7.730519,350,1971,1971-04-17,107,-0.25,3.8,87.0,156.8
liestal,47.4814,7.730519,350,1972,1972-04-06,97,3.13,71.2,88.0,138.0
liestal,47.4814,7.730519,350,1973,1973-04-29,119,0.71,19.5,90.0,145.5
liestal,47.4814,7.730519,350,1974,1974-04-02,92,4.52,111.1,85.0,207.0
liestal,47.4814,7.730519,350,1975,1975-04-18,108,3.04,22.8,85.0,199.7
liestal,47.4814,7.730519,350,1976,1976-04-11,102,2.0,29.2,90.0,156.4
liestal,47.4814,7.730519,350,1977,1977-03-21,80,3.94,120.2,82.0,319.8
liestal,47.4814,7.730519,350,1978,1978-04-18,108,1.59,37.9,89.0,319.4
liestal,47.4814,7.730519,350,1979,1979-04-15,105,1.26,35.2,85.0,304.0
liestal,47.4814,7.730519,350,1980,1980-04-13,104,2.61,42.2,83.0,229.2
liestal,47.4814,7.730519,350,1981,1981-04-02,92,1.84,105.8,89.0,261.3
liestal,47.4814,7.730519,350,1982,1982-04-18,108,2.24,27.6,89.0,247.9
liestal,47.4814,7.730519,350,1983,1983-04-11,101,2.51,64.1,78.0,228.5
liestal,47.4814,7.730519,350,1984,1984-04-19,110,1.45,19.7,87.0,268.8
liestal,47.4814,7.730519,350,1985,1985-04-16,106,-0.58,24.7,87.0,167.9
liestal,47.4814,7.730519,350,1986,1986-05-01,121,-0.25,24.6,89.0,261.5
liestal,47.4814,7.730519,350,1987,1987-04-22,112,-0.0,32.6,87.0,183.8
liestal,47.4814,7.730519,350,1988,1988-04-17,108,3.32,53.2,84.0,365.4
liestal,47.4814,7.730519,350,1989,1989-03-28,87,4.24,112.7,84.0,158.9
liestal,47.4814,7.730519,350,1990,1990-03-16,75,4.97,156.8,69.0,197.2
liestal,47.4814,7.730519,350,1991,1991-04-04,94,3.02,113.0,83.0,129.5
liestal,47.4814,7.730519,350,1992,1992-04-11,102,2.71,49.1,87.0,184.2
liestal,47.4814,7.730519,350,1993,1993-04-11,101,3.19,82.3,82.0,90.0
liestal,47.4814,7.730519,350,1994,1994-03-23,82,4.92,137.2,78.0,216.9
liestal,47.4814,7.730519,350,1995,1995-04-03,93,3.3,72.0,68.0,370.9
liestal,47.4814,7.730519,350,1996,1996-04-18,109,1.46,35.1,88.0,101.1
liestal,47.4814,7.730519,350,1997,1997-03-22,81,3.48,107.2,85.0,131.0
liestal,47.4814,7.730519,350,1998,1998-03-31,90,3.96,94.4,82.0,156.3
liestal,47.4814,7.730519,350,1999,1999-04-04,94,2.82,71.4,86.0,318.6
liestal,47.4814,7.730519,350,2000,2000-04-01,92,3.56,61.7,87.0,220.7
liestal,47.4814,7.730519,350,2001,2001-03-30,89,4.12,101.0,78.0,332.0
liestal,47.4814,7.730519,350,2002,2002-03-18,77,4.4,131.1,73.0,205.9
liestal,47.4814,7.730519,350,2003,2003-04-02,92,1.92,86.1,82.0,136.8
liestal,47.4814,7.730519,350,2004,2004-04-01,92,2.51,65.6,86.0,233.0
liestal,47.4814,7.730519,350,2005,2005-04-05,95,1.72,95.1,89.0,155.6
liestal,47.4814,7.730519,350,2006,2006-04-21,111,0.85,45.4,89.0,250.0
liestal,47.4814,7.730519,350,2007,2007-04-04,94,4.85,117.3,71.0,273.4
liestal,47.4814,7.730519,350,2008,2008-03-29,89,3.5,72.9,81.0,191.6
liestal,47.4814,7.730519,350,2009,2009-04-10,100,1.06,13.9,90.0,229.3
liestal,47.4814,7.730519,350,2010,2010-04-08,98,1.17,65.7,88.0,180.4
liestal,47.4814,7.730519,350,2011,2011-03-31,90,3.33,69.9,88.0,133.1
liestal,47.4814,7.730519,350,2012,2012-04-02,93,2.19,92.0,86.0,154.8
liestal,47.4814,7.730519,350,2013,2013-04-17,107,1.09,22.6,84.0,201.0
liestal,47.4814,7.730519,350,2014,2014-03-25,84,4.72,85.5,88.0,192.9
liestal,47.4814,7.730519,350,2015,2015-04-11,101,2.93,60.4,85.0,191.7
liestal,47.4814,7.730519,350,2016,2016-04-06,97,3.69,54.5,83.0,333.7
liestal,47.4814,7.730519,350,2017,2017-03-26,85,4.01,153.0,85.0,192.8
liestal,47.4814,7.730519,350,2018,2018-04-08,98,3.72,85.6,78.0,323.0
liestal,47.4814,7.730519,350,2019,2019-03-27,86,4.55,120.0,73.0,191.8
liestal,47.4814,7.730519,350,2020,2020-03-17,77,5.74,159.1,64.0,228.6
liestal,47.4814,7.730519,350,2021,2021-03-28,87,4.26,144.8,64.0,296.5
liestal,47.4814,7.730519,350,2022,2022-03-26,85,4.98,146.8,77.0,167.4
liestal,47.4814,7.730519,350,2023,2023-03-29,88,5.3,183.4,59.0,218.2
liestal,47.4814,7.730519,350,2024,2024-03-20,80,6.63,234.8,55.0,304.4
liestal,47.4814,7.730519,350,2025,2025-03-27,86,4.81,130.8,72.0,271.6
